class I
population/area	coverage	average_hit	pc90
Colombia North Chimila Amerindians	99.96%	7280.27	3755.45
average	99.96%	7280.27	3755.45
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Colombia North Chimila Amerindians	0	0.04	100.0
Colombia North Chimila Amerindians	1	0.0	99.96
Colombia North Chimila Amerindians	2	0.0	99.96
Colombia North Chimila Amerindians	3	0.0	99.96
Colombia North Chimila Amerindians	4	0.0	99.96
Colombia North Chimila Amerindians	5	0.0	99.96
Colombia North Chimila Amerindians	6	0.0	99.96
Colombia North Chimila Amerindians	7	0.0	99.96
Colombia North Chimila Amerindians	8	0.0	99.96
Colombia North Chimila Amerindians	9	0.0	99.96
Colombia North Chimila Amerindians	10	0.0	99.96
Colombia North Chimila Amerindians	11	0.0	99.96
Colombia North Chimila Amerindians	12	0.0	99.96
Colombia North Chimila Amerindians	13	0.0	99.96
Colombia North Chimila Amerindians	14	0.0	99.96
Colombia North Chimila Amerindians	15	0.0	99.96
Colombia North Chimila Amerindians	16	0.0	99.96
Colombia North Chimila Amerindians	17	0.0	99.96
Colombia North Chimila Amerindians	18	0.0	99.96
Colombia North Chimila Amerindians	19	0.0	99.96
Colombia North Chimila Amerindians	20	0.0	99.96
Colombia North Chimila Amerindians	21	0.0	99.96
Colombia North Chimila Amerindians	22	0.0	99.96
Colombia North Chimila Amerindians	23	0.0	99.96
Colombia North Chimila Amerindians	24	0.0	99.96
Colombia North Chimila Amerindians	25	0.0	99.96
Colombia North Chimila Amerindians	26	0.0	99.96
Colombia North Chimila Amerindians	27	0.0	99.96
Colombia North Chimila Amerindians	28	0.0	99.96
Colombia North Chimila Amerindians	29	0.0	99.96
Colombia North Chimila Amerindians	30	0.0	99.96
Colombia North Chimila Amerindians	31	0.0	99.96
Colombia North Chimila Amerindians	32	0.0	99.96
Colombia North Chimila Amerindians	33	0.0	99.96
Colombia North Chimila Amerindians	34	0.0	99.96
Colombia North Chimila Amerindians	35	0.0	99.96
Colombia North Chimila Amerindians	36	0.0	99.96
Colombia North Chimila Amerindians	37	0.0	99.96
Colombia North Chimila Amerindians	38	0.0	99.96
Colombia North Chimila Amerindians	39	0.0	99.96
Colombia North Chimila Amerindians	40	0.0	99.96
Colombia North Chimila Amerindians	41	0.0	99.96
Colombia North Chimila Amerindians	42	0.0	99.96
Colombia North Chimila Amerindians	43	0.0	99.96
Colombia North Chimila Amerindians	44	0.0	99.96
Colombia North Chimila Amerindians	45	0.0	99.96
Colombia North Chimila Amerindians	46	0.0	99.96
Colombia North Chimila Amerindians	47	0.0	99.96
Colombia North Chimila Amerindians	48	0.0	99.96
Colombia North Chimila Amerindians	49	0.0	99.96
Colombia North Chimila Amerindians	50	0.0	99.96
Colombia North Chimila Amerindians	51	0.0	99.96
Colombia North Chimila Amerindians	52	0.0	99.96
Colombia North Chimila Amerindians	53	0.0	99.96
Colombia North Chimila Amerindians	54	0.0	99.96
Colombia North Chimila Amerindians	55	0.0	99.96
Colombia North Chimila Amerindians	56	0.0	99.96
Colombia North Chimila Amerindians	57	0.0	99.96
Colombia North Chimila Amerindians	58	0.0	99.96
Colombia North Chimila Amerindians	59	0.0	99.96
Colombia North Chimila Amerindians	60	0.0	99.96
Colombia North Chimila Amerindians	61	0.0	99.96
Colombia North Chimila Amerindians	62	0.0	99.96
Colombia North Chimila Amerindians	63	0.0	99.96
Colombia North Chimila Amerindians	64	0.0	99.96
Colombia North Chimila Amerindians	65	0.0	99.96
Colombia North Chimila Amerindians	66	0.0	99.96
Colombia North Chimila Amerindians	67	0.0	99.96
Colombia North Chimila Amerindians	68	0.0	99.96
Colombia North Chimila Amerindians	69	0.0	99.96
Colombia North Chimila Amerindians	70	0.0	99.96
Colombia North Chimila Amerindians	71	0.0	99.96
Colombia North Chimila Amerindians	72	0.0	99.96
Colombia North Chimila Amerindians	73	0.0	99.96
Colombia North Chimila Amerindians	74	0.0	99.96
Colombia North Chimila Amerindians	75	0.0	99.96
Colombia North Chimila Amerindians	76	0.0	99.96
Colombia North Chimila Amerindians	77	0.0	99.96
Colombia North Chimila Amerindians	78	0.0	99.96
Colombia North Chimila Amerindians	79	0.0	99.96
Colombia North Chimila Amerindians	80	0.0	99.96
Colombia North Chimila Amerindians	81	0.0	99.96
Colombia North Chimila Amerindians	82	0.0	99.96
Colombia North Chimila Amerindians	83	0.0	99.96
Colombia North Chimila Amerindians	84	0.0	99.96
Colombia North Chimila Amerindians	85	0.0	99.96
Colombia North Chimila Amerindians	86	0.0	99.96
Colombia North Chimila Amerindians	87	0.0	99.96
Colombia North Chimila Amerindians	88	0.0	99.96
Colombia North Chimila Amerindians	89	0.0	99.96
Colombia North Chimila Amerindians	90	0.0	99.96
Colombia North Chimila Amerindians	91	0.0	99.96
Colombia North Chimila Amerindians	92	0.0	99.96
Colombia North Chimila Amerindians	93	0.0	99.96
Colombia North Chimila Amerindians	94	0.0	99.96
Colombia North Chimila Amerindians	95	0.0	99.96
Colombia North Chimila Amerindians	96	0.0	99.96
Colombia North Chimila Amerindians	97	0.0	99.96
Colombia North Chimila Amerindians	98	0.0	99.96
Colombia North Chimila Amerindians	99	0.0	99.96
Colombia North Chimila Amerindians	100	0.0	99.96
Colombia North Chimila Amerindians	101	0.0	99.96
Colombia North Chimila Amerindians	102	0.0	99.96
Colombia North Chimila Amerindians	103	0.0	99.96
Colombia North Chimila Amerindians	104	0.0	99.96
Colombia North Chimila Amerindians	105	0.07	99.96
Colombia North Chimila Amerindians	106	0.0	99.9
Colombia North Chimila Amerindians	107	0.0	99.9
