class I
population/area	coverage	average_hit	pc90
Singapore SGVP. Indian INS	100.0%	14361.09	6359.47
average	100.0%	14361.09	6359.47
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Singapore SGVP. Indian INS	0	0.0	100.0
Singapore SGVP. Indian INS	1	0.0	100.0
Singapore SGVP. Indian INS	2	0.0	100.0
Singapore SGVP. Indian INS	3	0.0	100.0
Singapore SGVP. Indian INS	4	0.0	100.0
Singapore SGVP. Indian INS	5	0.0	100.0
Singapore SGVP. Indian INS	6	0.0	100.0
Singapore SGVP. Indian INS	7	0.0	100.0
Singapore SGVP. Indian INS	8	0.0	100.0
Singapore SGVP. Indian INS	9	0.0	100.0
Singapore SGVP. Indian INS	10	0.0	100.0
Singapore SGVP. Indian INS	11	0.0	100.0
Singapore SGVP. Indian INS	12	0.0	100.0
Singapore SGVP. Indian INS	13	0.0	100.0
Singapore SGVP. Indian INS	14	0.0	100.0
Singapore SGVP. Indian INS	15	0.0	100.0
Singapore SGVP. Indian INS	16	0.0	100.0
Singapore SGVP. Indian INS	17	0.0	100.0
Singapore SGVP. Indian INS	18	0.0	100.0
Singapore SGVP. Indian INS	19	0.0	100.0
Singapore SGVP. Indian INS	20	0.0	100.0
Singapore SGVP. Indian INS	21	0.0	100.0
Singapore SGVP. Indian INS	22	0.0	100.0
Singapore SGVP. Indian INS	23	0.0	100.0
Singapore SGVP. Indian INS	24	0.0	100.0
Singapore SGVP. Indian INS	25	0.0	100.0
Singapore SGVP. Indian INS	26	0.0	100.0
Singapore SGVP. Indian INS	27	0.0	100.0
Singapore SGVP. Indian INS	28	0.0	100.0
Singapore SGVP. Indian INS	29	0.0	100.0
Singapore SGVP. Indian INS	30	0.0	100.0
Singapore SGVP. Indian INS	31	0.0	100.0
Singapore SGVP. Indian INS	32	0.0	100.0
Singapore SGVP. Indian INS	33	0.0	100.0
Singapore SGVP. Indian INS	34	0.0	100.0
Singapore SGVP. Indian INS	35	0.0	100.0
Singapore SGVP. Indian INS	36	0.0	100.0
Singapore SGVP. Indian INS	37	0.0	100.0
Singapore SGVP. Indian INS	38	0.0	100.0
Singapore SGVP. Indian INS	39	0.0	100.0
Singapore SGVP. Indian INS	40	0.0	100.0
Singapore SGVP. Indian INS	41	0.0	100.0
Singapore SGVP. Indian INS	42	0.0	100.0
Singapore SGVP. Indian INS	43	0.0	100.0
Singapore SGVP. Indian INS	44	0.0	100.0
Singapore SGVP. Indian INS	45	0.0	100.0
Singapore SGVP. Indian INS	46	0.0	100.0
Singapore SGVP. Indian INS	47	0.0	99.99
Singapore SGVP. Indian INS	48	0.0	99.99
Singapore SGVP. Indian INS	49	0.0	99.99
Singapore SGVP. Indian INS	50	0.0	99.99
Singapore SGVP. Indian INS	51	0.0	99.99
Singapore SGVP. Indian INS	52	0.0	99.99
Singapore SGVP. Indian INS	53	0.0	99.99
Singapore SGVP. Indian INS	54	0.0	99.99
Singapore SGVP. Indian INS	55	0.0	99.99
Singapore SGVP. Indian INS	56	0.0	99.99
Singapore SGVP. Indian INS	57	0.0	99.99
Singapore SGVP. Indian INS	58	0.0	99.99
Singapore SGVP. Indian INS	59	0.0	99.99
Singapore SGVP. Indian INS	60	0.0	99.99
Singapore SGVP. Indian INS	61	0.0	99.99
Singapore SGVP. Indian INS	62	0.0	99.99
Singapore SGVP. Indian INS	63	0.0	99.99
Singapore SGVP. Indian INS	64	0.0	99.99
Singapore SGVP. Indian INS	65	0.0	99.98
Singapore SGVP. Indian INS	66	0.0	99.98
Singapore SGVP. Indian INS	67	0.0	99.98
Singapore SGVP. Indian INS	68	0.0	99.98
Singapore SGVP. Indian INS	69	0.0	99.98
Singapore SGVP. Indian INS	70	0.0	99.98
Singapore SGVP. Indian INS	71	0.0	99.98
Singapore SGVP. Indian INS	72	0.0	99.98
Singapore SGVP. Indian INS	73	0.0	99.98
Singapore SGVP. Indian INS	74	0.0	99.98
Singapore SGVP. Indian INS	75	0.0	99.98
Singapore SGVP. Indian INS	76	0.0	99.98
Singapore SGVP. Indian INS	77	0.0	99.98
Singapore SGVP. Indian INS	78	0.0	99.98
Singapore SGVP. Indian INS	79	0.0	99.98
Singapore SGVP. Indian INS	80	0.0	99.98
Singapore SGVP. Indian INS	81	0.0	99.98
Singapore SGVP. Indian INS	82	0.0	99.98
Singapore SGVP. Indian INS	83	0.0	99.98
Singapore SGVP. Indian INS	84	0.0	99.98
Singapore SGVP. Indian INS	85	0.0	99.98
Singapore SGVP. Indian INS	86	0.0	99.98
Singapore SGVP. Indian INS	87	0.0	99.98
Singapore SGVP. Indian INS	88	0.0	99.98
Singapore SGVP. Indian INS	89	0.0	99.98
Singapore SGVP. Indian INS	90	0.0	99.98
Singapore SGVP. Indian INS	91	0.0	99.98
Singapore SGVP. Indian INS	92	0.0	99.98
Singapore SGVP. Indian INS	93	0.0	99.98
Singapore SGVP. Indian INS	94	0.0	99.98
Singapore SGVP. Indian INS	95	0.0	99.98
Singapore SGVP. Indian INS	96	0.0	99.98
Singapore SGVP. Indian INS	97	0.0	99.98
Singapore SGVP. Indian INS	98	0.0	99.98
Singapore SGVP. Indian INS	99	0.0	99.98
Singapore SGVP. Indian INS	100	0.0	99.98
Singapore SGVP. Indian INS	101	0.0	99.98
Singapore SGVP. Indian INS	102	0.0	99.98
Singapore SGVP. Indian INS	103	0.0	99.98
Singapore SGVP. Indian INS	104	0.0	99.98
Singapore SGVP. Indian INS	105	0.0	99.98
Singapore SGVP. Indian INS	106	0.0	99.98
Singapore SGVP. Indian INS	107	0.0	99.98
Singapore SGVP. Indian INS	108	0.0	99.98
Singapore SGVP. Indian INS	109	0.0	99.98
Singapore SGVP. Indian INS	110	0.0	99.98
Singapore SGVP. Indian INS	111	0.0	99.98
Singapore SGVP. Indian INS	112	0.0	99.98
Singapore SGVP. Indian INS	113	0.0	99.98
Singapore SGVP. Indian INS	114	0.0	99.98
Singapore SGVP. Indian INS	115	0.0	99.97
Singapore SGVP. Indian INS	116	0.0	99.97
Singapore SGVP. Indian INS	117	0.0	99.97
Singapore SGVP. Indian INS	118	0.0	99.97
Singapore SGVP. Indian INS	119	0.0	99.97
Singapore SGVP. Indian INS	120	0.0	99.97
Singapore SGVP. Indian INS	121	0.0	99.97
Singapore SGVP. Indian INS	122	0.0	99.97
Singapore SGVP. Indian INS	123	0.0	99.97
Singapore SGVP. Indian INS	124	0.0	99.97
Singapore SGVP. Indian INS	125	0.0	99.97
Singapore SGVP. Indian INS	126	0.0	99.97
Singapore SGVP. Indian INS	127	0.0	99.97
Singapore SGVP. Indian INS	128	0.0	99.97
Singapore SGVP. Indian INS	129	0.0	99.97
Singapore SGVP. Indian INS	130	0.0	99.97
Singapore SGVP. Indian INS	131	0.0	99.97
Singapore SGVP. Indian INS	132	0.0	99.97
Singapore SGVP. Indian INS	133	0.0	99.97
Singapore SGVP. Indian INS	134	0.0	99.97
Singapore SGVP. Indian INS	135	0.0	99.97
Singapore SGVP. Indian INS	136	0.0	99.97
Singapore SGVP. Indian INS	137	0.0	99.97
Singapore SGVP. Indian INS	138	0.0	99.97
Singapore SGVP. Indian INS	139	0.0	99.97
Singapore SGVP. Indian INS	140	0.0	99.97
Singapore SGVP. Indian INS	141	0.0	99.97
Singapore SGVP. Indian INS	142	0.0	99.97
Singapore SGVP. Indian INS	143	0.0	99.97
Singapore SGVP. Indian INS	144	0.0	99.97
Singapore SGVP. Indian INS	145	0.0	99.97
Singapore SGVP. Indian INS	146	0.0	99.97
Singapore SGVP. Indian INS	147	0.0	99.97
Singapore SGVP. Indian INS	148	0.0	99.97
Singapore SGVP. Indian INS	149	0.0	99.97
Singapore SGVP. Indian INS	150	0.0	99.97
Singapore SGVP. Indian INS	151	0.0	99.97
Singapore SGVP. Indian INS	152	0.0	99.97
Singapore SGVP. Indian INS	153	0.0	99.97
Singapore SGVP. Indian INS	154	0.0	99.97
Singapore SGVP. Indian INS	155	0.0	99.97
Singapore SGVP. Indian INS	156	0.0	99.97
Singapore SGVP. Indian INS	157	0.0	99.97
Singapore SGVP. Indian INS	158	0.0	99.97
Singapore SGVP. Indian INS	159	0.0	99.97
Singapore SGVP. Indian INS	160	0.0	99.97
Singapore SGVP. Indian INS	161	0.0	99.97
Singapore SGVP. Indian INS	162	0.0	99.97
Singapore SGVP. Indian INS	163	0.0	99.97
Singapore SGVP. Indian INS	164	0.0	99.97
Singapore SGVP. Indian INS	165	0.0	99.97
Singapore SGVP. Indian INS	166	0.0	99.97
Singapore SGVP. Indian INS	167	0.0	99.97
Singapore SGVP. Indian INS	168	0.0	99.97
Singapore SGVP. Indian INS	169	0.0	99.97
Singapore SGVP. Indian INS	170	0.0	99.97
Singapore SGVP. Indian INS	171	0.0	99.97
Singapore SGVP. Indian INS	172	0.0	99.97
Singapore SGVP. Indian INS	173	0.0	99.97
Singapore SGVP. Indian INS	174	0.0	99.97
Singapore SGVP. Indian INS	175	0.0	99.97
Singapore SGVP. Indian INS	176	0.0	99.97
Singapore SGVP. Indian INS	177	0.0	99.97
Singapore SGVP. Indian INS	178	0.0	99.97
Singapore SGVP. Indian INS	179	0.0	99.97
Singapore SGVP. Indian INS	180	0.0	99.97
Singapore SGVP. Indian INS	181	0.0	99.97
Singapore SGVP. Indian INS	182	0.0	99.97
Singapore SGVP. Indian INS	183	0.0	99.97
Singapore SGVP. Indian INS	184	0.0	99.97
Singapore SGVP. Indian INS	185	0.0	99.97
Singapore SGVP. Indian INS	186	0.0	99.97
Singapore SGVP. Indian INS	187	0.0	99.97
Singapore SGVP. Indian INS	188	0.0	99.97
Singapore SGVP. Indian INS	189	0.0	99.97
Singapore SGVP. Indian INS	190	0.0	99.97
Singapore SGVP. Indian INS	191	0.0	99.97
Singapore SGVP. Indian INS	192	0.0	99.96
Singapore SGVP. Indian INS	193	0.0	99.96
Singapore SGVP. Indian INS	194	0.0	99.96
Singapore SGVP. Indian INS	195	0.0	99.96
Singapore SGVP. Indian INS	196	0.0	99.96
Singapore SGVP. Indian INS	197	0.0	99.96
Singapore SGVP. Indian INS	198	0.0	99.96
Singapore SGVP. Indian INS	199	0.01	99.96
Singapore SGVP. Indian INS	200	0.0	99.95
Singapore SGVP. Indian INS	201	0.0	99.95
Singapore SGVP. Indian INS	202	0.0	99.95
Singapore SGVP. Indian INS	203	0.0	99.95
Singapore SGVP. Indian INS	204	0.0	99.95
Singapore SGVP. Indian INS	205	0.0	99.95
Singapore SGVP. Indian INS	206	0.0	99.95
Singapore SGVP. Indian INS	207	0.0	99.95
Singapore SGVP. Indian INS	208	0.0	99.95
Singapore SGVP. Indian INS	209	0.0	99.95
Singapore SGVP. Indian INS	210	0.0	99.95
Singapore SGVP. Indian INS	211	0.0	99.95
Singapore SGVP. Indian INS	212	0.0	99.94
Singapore SGVP. Indian INS	213	0.0	99.94
Singapore SGVP. Indian INS	214	0.0	99.94
Singapore SGVP. Indian INS	215	0.0	99.94
Singapore SGVP. Indian INS	216	0.0	99.94
Singapore SGVP. Indian INS	217	0.0	99.94
Singapore SGVP. Indian INS	218	0.0	99.94
Singapore SGVP. Indian INS	219	0.0	99.94
Singapore SGVP. Indian INS	220	0.0	99.94
Singapore SGVP. Indian INS	221	0.0	99.94
Singapore SGVP. Indian INS	222	0.0	99.94
Singapore SGVP. Indian INS	223	0.0	99.94
Singapore SGVP. Indian INS	224	0.0	99.94
Singapore SGVP. Indian INS	225	0.0	99.94
Singapore SGVP. Indian INS	226	0.0	99.94
Singapore SGVP. Indian INS	227	0.0	99.93
Singapore SGVP. Indian INS	228	0.0	99.93
Singapore SGVP. Indian INS	229	0.0	99.93
Singapore SGVP. Indian INS	230	0.0	99.93
Singapore SGVP. Indian INS	231	0.0	99.93
Singapore SGVP. Indian INS	232	0.0	99.93
Singapore SGVP. Indian INS	233	0.0	99.92
Singapore SGVP. Indian INS	234	0.0	99.92
Singapore SGVP. Indian INS	235	0.0	99.92
Singapore SGVP. Indian INS	236	0.0	99.92
Singapore SGVP. Indian INS	237	0.0	99.92
Singapore SGVP. Indian INS	238	0.0	99.92
Singapore SGVP. Indian INS	239	0.0	99.92
Singapore SGVP. Indian INS	240	0.0	99.92
Singapore SGVP. Indian INS	241	0.0	99.92
Singapore SGVP. Indian INS	242	0.0	99.92
Singapore SGVP. Indian INS	243	0.0	99.92
Singapore SGVP. Indian INS	244	0.0	99.91
Singapore SGVP. Indian INS	245	0.0	99.91
Singapore SGVP. Indian INS	246	0.0	99.91
Singapore SGVP. Indian INS	247	0.0	99.91
Singapore SGVP. Indian INS	248	0.0	99.91
Singapore SGVP. Indian INS	249	0.0	99.91
Singapore SGVP. Indian INS	250	0.0	99.91
Singapore SGVP. Indian INS	251	0.0	99.91
Singapore SGVP. Indian INS	252	0.0	99.91
Singapore SGVP. Indian INS	253	0.0	99.91
Singapore SGVP. Indian INS	254	0.0	99.91
Singapore SGVP. Indian INS	255	0.0	99.91
Singapore SGVP. Indian INS	256	0.0	99.91
Singapore SGVP. Indian INS	257	0.0	99.91
Singapore SGVP. Indian INS	258	0.0	99.91
Singapore SGVP. Indian INS	259	0.0	99.91
Singapore SGVP. Indian INS	260	0.0	99.91
Singapore SGVP. Indian INS	261	0.0	99.9
Singapore SGVP. Indian INS	262	0.0	99.9
Singapore SGVP. Indian INS	263	0.0	99.9
Singapore SGVP. Indian INS	264	0.0	99.9
Singapore SGVP. Indian INS	265	0.0	99.9
Singapore SGVP. Indian INS	266	0.0	99.9
Singapore SGVP. Indian INS	267	0.0	99.9
Singapore SGVP. Indian INS	268	0.0	99.9
Singapore SGVP. Indian INS	269	0.0	99.9
Singapore SGVP. Indian INS	270	0.0	99.9
Singapore SGVP. Indian INS	271	0.0	99.9
Singapore SGVP. Indian INS	272	0.0	99.9
Singapore SGVP. Indian INS	273	0.0	99.9
Singapore SGVP. Indian INS	274	0.0	99.9
Singapore SGVP. Indian INS	275	0.0	99.9
Singapore SGVP. Indian INS	276	0.0	99.9
