class I
population/area	coverage	average_hit	pc90
Taiwan Rukai	100.0%	11357.97	5487.73
average	100.0%	11357.97	5487.73
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Rukai	0	0.0	100.0
Taiwan Rukai	1	0.0	100.0
Taiwan Rukai	2	0.0	100.0
Taiwan Rukai	3	0.0	100.0
Taiwan Rukai	4	0.0	100.0
Taiwan Rukai	5	0.0	100.0
Taiwan Rukai	6	0.0	100.0
Taiwan Rukai	7	0.0	100.0
Taiwan Rukai	8	0.0	100.0
Taiwan Rukai	9	0.0	100.0
Taiwan Rukai	10	0.0	100.0
Taiwan Rukai	11	0.0	100.0
Taiwan Rukai	12	0.0	100.0
Taiwan Rukai	13	0.0	100.0
Taiwan Rukai	14	0.0	100.0
Taiwan Rukai	15	0.0	100.0
Taiwan Rukai	16	0.0	100.0
Taiwan Rukai	17	0.0	100.0
Taiwan Rukai	18	0.0	100.0
Taiwan Rukai	19	0.0	100.0
Taiwan Rukai	20	0.0	100.0
Taiwan Rukai	21	0.0	100.0
Taiwan Rukai	22	0.0	100.0
Taiwan Rukai	23	0.0	100.0
Taiwan Rukai	24	0.0	100.0
Taiwan Rukai	25	0.0	100.0
Taiwan Rukai	26	0.0	100.0
Taiwan Rukai	27	0.0	100.0
Taiwan Rukai	28	0.0	100.0
Taiwan Rukai	29	0.0	100.0
Taiwan Rukai	30	0.0	100.0
Taiwan Rukai	31	0.0	100.0
Taiwan Rukai	32	0.0	100.0
Taiwan Rukai	33	0.0	100.0
Taiwan Rukai	34	0.0	100.0
Taiwan Rukai	35	0.0	100.0
Taiwan Rukai	36	0.0	100.0
Taiwan Rukai	37	0.0	100.0
Taiwan Rukai	38	0.0	100.0
Taiwan Rukai	39	0.0	100.0
Taiwan Rukai	40	0.0	100.0
Taiwan Rukai	41	0.0	100.0
Taiwan Rukai	42	0.0	100.0
Taiwan Rukai	43	0.0	100.0
Taiwan Rukai	44	0.0	100.0
Taiwan Rukai	45	0.0	100.0
Taiwan Rukai	46	0.0	100.0
Taiwan Rukai	47	0.0	100.0
Taiwan Rukai	48	0.0	100.0
Taiwan Rukai	49	0.0	100.0
Taiwan Rukai	50	0.0	100.0
Taiwan Rukai	51	0.0	100.0
Taiwan Rukai	52	0.0	100.0
Taiwan Rukai	53	0.0	100.0
Taiwan Rukai	54	0.0	100.0
Taiwan Rukai	55	0.0	100.0
Taiwan Rukai	56	0.0	100.0
Taiwan Rukai	57	0.0	100.0
Taiwan Rukai	58	0.0	100.0
Taiwan Rukai	59	0.0	100.0
Taiwan Rukai	60	0.0	100.0
Taiwan Rukai	61	0.0	100.0
Taiwan Rukai	62	0.0	100.0
Taiwan Rukai	63	0.0	100.0
Taiwan Rukai	64	0.0	100.0
Taiwan Rukai	65	0.0	100.0
Taiwan Rukai	66	0.0	100.0
Taiwan Rukai	67	0.0	100.0
Taiwan Rukai	68	0.0	100.0
Taiwan Rukai	69	0.0	100.0
Taiwan Rukai	70	0.0	100.0
