class I
population/area	coverage	average_hit	pc90
USA NMDP Southeast Asian	100.0%	14189.49	6391.2
average	100.0%	14189.49	6391.2
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Southeast Asian	0	0.0	100.0
USA NMDP Southeast Asian	1	0.0	100.0
USA NMDP Southeast Asian	2	0.0	100.0
USA NMDP Southeast Asian	3	0.0	100.0
USA NMDP Southeast Asian	4	0.0	100.0
USA NMDP Southeast Asian	5	0.0	100.0
USA NMDP Southeast Asian	6	0.0	100.0
USA NMDP Southeast Asian	7	0.0	100.0
USA NMDP Southeast Asian	8	0.0	100.0
USA NMDP Southeast Asian	9	0.0	100.0
USA NMDP Southeast Asian	10	0.0	100.0
USA NMDP Southeast Asian	11	0.0	100.0
USA NMDP Southeast Asian	12	0.0	100.0
USA NMDP Southeast Asian	13	0.0	100.0
USA NMDP Southeast Asian	14	0.0	100.0
USA NMDP Southeast Asian	15	0.0	100.0
USA NMDP Southeast Asian	16	0.0	100.0
USA NMDP Southeast Asian	17	0.0	100.0
USA NMDP Southeast Asian	18	0.0	100.0
USA NMDP Southeast Asian	19	0.0	100.0
USA NMDP Southeast Asian	20	0.0	100.0
USA NMDP Southeast Asian	21	0.0	100.0
USA NMDP Southeast Asian	22	0.0	100.0
USA NMDP Southeast Asian	23	0.0	100.0
USA NMDP Southeast Asian	24	0.0	100.0
USA NMDP Southeast Asian	25	0.0	100.0
USA NMDP Southeast Asian	26	0.0	100.0
USA NMDP Southeast Asian	27	0.0	100.0
USA NMDP Southeast Asian	28	0.0	99.99
USA NMDP Southeast Asian	29	0.0	99.99
USA NMDP Southeast Asian	30	0.0	99.99
USA NMDP Southeast Asian	31	0.0	99.99
USA NMDP Southeast Asian	32	0.0	99.99
USA NMDP Southeast Asian	33	0.0	99.99
USA NMDP Southeast Asian	34	0.0	99.99
USA NMDP Southeast Asian	35	0.0	99.99
USA NMDP Southeast Asian	36	0.0	99.99
USA NMDP Southeast Asian	37	0.0	99.99
USA NMDP Southeast Asian	38	0.0	99.99
USA NMDP Southeast Asian	39	0.0	99.99
USA NMDP Southeast Asian	40	0.0	99.99
USA NMDP Southeast Asian	41	0.0	99.99
USA NMDP Southeast Asian	42	0.0	99.99
USA NMDP Southeast Asian	43	0.0	99.99
USA NMDP Southeast Asian	44	0.0	99.99
USA NMDP Southeast Asian	45	0.0	99.99
USA NMDP Southeast Asian	46	0.0	99.99
USA NMDP Southeast Asian	47	0.0	99.99
USA NMDP Southeast Asian	48	0.0	99.99
USA NMDP Southeast Asian	49	0.0	99.99
USA NMDP Southeast Asian	50	0.0	99.99
USA NMDP Southeast Asian	51	0.0	99.99
USA NMDP Southeast Asian	52	0.0	99.98
USA NMDP Southeast Asian	53	0.0	99.98
USA NMDP Southeast Asian	54	0.0	99.98
USA NMDP Southeast Asian	55	0.0	99.98
USA NMDP Southeast Asian	56	0.0	99.98
USA NMDP Southeast Asian	57	0.0	99.98
USA NMDP Southeast Asian	58	0.0	99.98
USA NMDP Southeast Asian	59	0.0	99.98
USA NMDP Southeast Asian	60	0.0	99.98
USA NMDP Southeast Asian	61	0.0	99.98
USA NMDP Southeast Asian	62	0.0	99.98
USA NMDP Southeast Asian	63	0.0	99.98
USA NMDP Southeast Asian	64	0.0	99.98
USA NMDP Southeast Asian	65	0.0	99.98
USA NMDP Southeast Asian	66	0.0	99.98
USA NMDP Southeast Asian	67	0.0	99.98
USA NMDP Southeast Asian	68	0.0	99.98
USA NMDP Southeast Asian	69	0.0	99.98
USA NMDP Southeast Asian	70	0.0	99.98
USA NMDP Southeast Asian	71	0.0	99.98
USA NMDP Southeast Asian	72	0.0	99.98
USA NMDP Southeast Asian	73	0.0	99.97
USA NMDP Southeast Asian	74	0.0	99.97
USA NMDP Southeast Asian	75	0.0	99.97
USA NMDP Southeast Asian	76	0.0	99.97
USA NMDP Southeast Asian	77	0.0	99.97
USA NMDP Southeast Asian	78	0.0	99.97
USA NMDP Southeast Asian	79	0.0	99.97
USA NMDP Southeast Asian	80	0.0	99.97
USA NMDP Southeast Asian	81	0.0	99.97
USA NMDP Southeast Asian	82	0.0	99.97
USA NMDP Southeast Asian	83	0.0	99.97
USA NMDP Southeast Asian	84	0.0	99.97
USA NMDP Southeast Asian	85	0.0	99.97
USA NMDP Southeast Asian	86	0.0	99.97
USA NMDP Southeast Asian	87	0.0	99.97
USA NMDP Southeast Asian	88	0.0	99.97
USA NMDP Southeast Asian	89	0.0	99.97
USA NMDP Southeast Asian	90	0.0	99.97
USA NMDP Southeast Asian	91	0.0	99.97
USA NMDP Southeast Asian	92	0.0	99.97
USA NMDP Southeast Asian	93	0.0	99.97
USA NMDP Southeast Asian	94	0.0	99.97
USA NMDP Southeast Asian	95	0.0	99.97
USA NMDP Southeast Asian	96	0.0	99.97
USA NMDP Southeast Asian	97	0.0	99.97
USA NMDP Southeast Asian	98	0.0	99.97
USA NMDP Southeast Asian	99	0.0	99.97
USA NMDP Southeast Asian	100	0.0	99.97
USA NMDP Southeast Asian	101	0.0	99.97
USA NMDP Southeast Asian	102	0.0	99.97
USA NMDP Southeast Asian	103	0.0	99.97
USA NMDP Southeast Asian	104	0.0	99.96
USA NMDP Southeast Asian	105	0.0	99.96
USA NMDP Southeast Asian	106	0.0	99.96
USA NMDP Southeast Asian	107	0.0	99.96
USA NMDP Southeast Asian	108	0.0	99.96
USA NMDP Southeast Asian	109	0.0	99.96
USA NMDP Southeast Asian	110	0.0	99.96
USA NMDP Southeast Asian	111	0.0	99.96
USA NMDP Southeast Asian	112	0.0	99.96
USA NMDP Southeast Asian	113	0.0	99.96
USA NMDP Southeast Asian	114	0.0	99.96
