class I
population/area	coverage	average_hit	pc90
Papua New Guinea Karimui Plateau Pawaia	100.0%	9091.24	5237.97
average	100.0%	9091.24	5237.97
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Papua New Guinea Karimui Plateau Pawaia	0	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	1	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	2	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	3	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	4	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	5	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	6	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	7	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	8	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	9	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	10	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	11	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	12	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	13	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	14	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	15	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	16	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	17	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	18	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	19	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	20	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	21	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	22	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	23	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	24	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	25	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	26	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	27	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	28	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	29	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	30	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	31	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	32	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	33	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	34	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	35	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	36	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	37	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	38	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	39	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	40	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	41	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	42	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	43	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	44	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	45	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	46	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	47	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	48	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	49	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	50	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	51	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	52	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	53	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	54	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	55	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	56	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	57	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	58	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	59	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	60	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	61	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	62	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	63	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	64	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	65	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	66	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	67	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	68	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	69	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	70	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	71	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	72	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	73	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	74	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	75	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	76	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	77	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	78	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	79	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	80	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	81	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	82	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	83	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	84	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	85	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	86	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	87	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	88	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	89	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	90	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	91	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	92	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	93	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	94	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	95	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	96	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	97	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	98	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	99	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	100	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	101	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	102	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	103	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	104	0.0	100.0
Papua New Guinea Karimui Plateau Pawaia	105	0.0	99.99
Papua New Guinea Karimui Plateau Pawaia	106	0.0	99.99
Papua New Guinea Karimui Plateau Pawaia	107	0.0	99.99
