class I
population/area	coverage	average_hit	pc90
USA Mexican American Mestizo	100.0%	18795.09	8273.69
average	100.0%	18795.09	8273.69
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA Mexican American Mestizo	0	0.0	100.0
USA Mexican American Mestizo	1	0.0	100.0
USA Mexican American Mestizo	2	0.0	100.0
USA Mexican American Mestizo	3	0.0	100.0
USA Mexican American Mestizo	4	0.0	100.0
USA Mexican American Mestizo	5	0.0	100.0
USA Mexican American Mestizo	6	0.0	100.0
USA Mexican American Mestizo	7	0.0	100.0
USA Mexican American Mestizo	8	0.0	100.0
USA Mexican American Mestizo	9	0.0	100.0
USA Mexican American Mestizo	10	0.0	100.0
USA Mexican American Mestizo	11	0.0	100.0
USA Mexican American Mestizo	12	0.0	100.0
USA Mexican American Mestizo	13	0.0	100.0
USA Mexican American Mestizo	14	0.0	100.0
USA Mexican American Mestizo	15	0.0	100.0
USA Mexican American Mestizo	16	0.0	100.0
USA Mexican American Mestizo	17	0.0	100.0
USA Mexican American Mestizo	18	0.0	100.0
USA Mexican American Mestizo	19	0.0	100.0
USA Mexican American Mestizo	20	0.0	100.0
USA Mexican American Mestizo	21	0.0	100.0
USA Mexican American Mestizo	22	0.0	100.0
USA Mexican American Mestizo	23	0.0	100.0
USA Mexican American Mestizo	24	0.0	100.0
USA Mexican American Mestizo	25	0.0	100.0
USA Mexican American Mestizo	26	0.0	100.0
USA Mexican American Mestizo	27	0.0	100.0
USA Mexican American Mestizo	28	0.0	100.0
USA Mexican American Mestizo	29	0.0	100.0
USA Mexican American Mestizo	30	0.0	100.0
USA Mexican American Mestizo	31	0.0	100.0
USA Mexican American Mestizo	32	0.0	100.0
USA Mexican American Mestizo	33	0.0	100.0
USA Mexican American Mestizo	34	0.0	100.0
USA Mexican American Mestizo	35	0.0	100.0
USA Mexican American Mestizo	36	0.0	100.0
USA Mexican American Mestizo	37	0.0	100.0
USA Mexican American Mestizo	38	0.0	100.0
USA Mexican American Mestizo	39	0.0	100.0
USA Mexican American Mestizo	40	0.0	100.0
USA Mexican American Mestizo	41	0.0	100.0
USA Mexican American Mestizo	42	0.0	100.0
USA Mexican American Mestizo	43	0.0	100.0
USA Mexican American Mestizo	44	0.0	100.0
USA Mexican American Mestizo	45	0.0	100.0
USA Mexican American Mestizo	46	0.0	100.0
USA Mexican American Mestizo	47	0.0	100.0
USA Mexican American Mestizo	48	0.0	100.0
USA Mexican American Mestizo	49	0.0	100.0
USA Mexican American Mestizo	50	0.0	100.0
USA Mexican American Mestizo	51	0.0	100.0
USA Mexican American Mestizo	52	0.0	100.0
