class I
population/area	coverage	average_hit	pc90
Hong Kong Chinese HKBMDR HLA 11 loci	100.0%	13978.92	5803.46
average	100.0%	13978.92	5803.46
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Hong Kong Chinese HKBMDR HLA 11 loci	0	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	1	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	2	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	3	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	4	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	5	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	6	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	7	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	8	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	9	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	10	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	11	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	12	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	13	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	14	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	15	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	16	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	17	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	18	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	19	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	20	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	21	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	22	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	23	0.0	100.0
Hong Kong Chinese HKBMDR HLA 11 loci	24	0.0	99.99
Hong Kong Chinese HKBMDR HLA 11 loci	25	0.0	99.99
Hong Kong Chinese HKBMDR HLA 11 loci	26	0.0	99.99
Hong Kong Chinese HKBMDR HLA 11 loci	27	0.01	99.99
Hong Kong Chinese HKBMDR HLA 11 loci	28	0.0	99.98
Hong Kong Chinese HKBMDR HLA 11 loci	29	0.0	99.98
