class I
population/area	coverage	average_hit	pc90
South Africa Worcester	100.0%	12898.03	4193.84
average	100.0%	12898.03	4193.84
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
South Africa Worcester	0	0.0	100.0
South Africa Worcester	1	0.0	100.0
South Africa Worcester	2	0.0	100.0
South Africa Worcester	3	0.0	100.0
South Africa Worcester	4	0.0	99.99
South Africa Worcester	5	0.0	99.99
South Africa Worcester	6	0.0	99.99
South Africa Worcester	7	0.0	99.99
South Africa Worcester	8	0.0	99.99
South Africa Worcester	9	0.0	99.99
South Africa Worcester	10	0.0	99.99
South Africa Worcester	11	0.0	99.99
South Africa Worcester	12	0.0	99.99
South Africa Worcester	13	0.0	99.99
South Africa Worcester	14	0.0	99.99
South Africa Worcester	15	0.0	99.99
South Africa Worcester	16	0.0	99.99
South Africa Worcester	17	0.0	99.99
South Africa Worcester	18	0.0	99.99
South Africa Worcester	19	0.0	99.99
South Africa Worcester	20	0.0	99.99
South Africa Worcester	21	0.01	99.99
South Africa Worcester	22	0.0	99.98
South Africa Worcester	23	0.0	99.98
South Africa Worcester	24	0.0	99.98
South Africa Worcester	25	0.0	99.98
South Africa Worcester	26	0.0	99.98
South Africa Worcester	27	0.0	99.98
South Africa Worcester	28	0.0	99.97
South Africa Worcester	29	0.0	99.97
South Africa Worcester	30	0.0	99.97
South Africa Worcester	31	0.0	99.97
South Africa Worcester	32	0.0	99.97
South Africa Worcester	33	0.0	99.97
South Africa Worcester	34	0.0	99.97
South Africa Worcester	35	0.0	99.97
South Africa Worcester	36	0.0	99.97
South Africa Worcester	37	0.0	99.96
South Africa Worcester	38	0.0	99.96
South Africa Worcester	39	0.0	99.96
South Africa Worcester	40	0.0	99.96
South Africa Worcester	41	0.0	99.96
South Africa Worcester	42	0.0	99.96
South Africa Worcester	43	0.0	99.96
South Africa Worcester	44	0.0	99.96
South Africa Worcester	45	0.0	99.96
South Africa Worcester	46	0.0	99.96
South Africa Worcester	47	0.0	99.96
South Africa Worcester	48	0.0	99.96
South Africa Worcester	49	0.0	99.96
South Africa Worcester	50	0.0	99.96
South Africa Worcester	51	0.0	99.96
South Africa Worcester	52	0.0	99.95
South Africa Worcester	53	0.0	99.95
South Africa Worcester	54	0.0	99.95
South Africa Worcester	55	0.01	99.95
South Africa Worcester	56	0.0	99.94
South Africa Worcester	57	0.0	99.94
South Africa Worcester	58	0.0	99.94
