class I
population/area	coverage	average_hit	pc90
Germany DKMS - Romania minority	100.0%	22370.15	10682.67
average	100.0%	22370.15	10682.67
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Germany DKMS - Romania minority	0	0.0	100.0
Germany DKMS - Romania minority	1	0.0	100.0
Germany DKMS - Romania minority	2	0.0	100.0
Germany DKMS - Romania minority	3	0.0	100.0
Germany DKMS - Romania minority	4	0.0	100.0
Germany DKMS - Romania minority	5	0.0	100.0
Germany DKMS - Romania minority	6	0.0	100.0
Germany DKMS - Romania minority	7	0.0	100.0
Germany DKMS - Romania minority	8	0.0	100.0
Germany DKMS - Romania minority	9	0.0	100.0
Germany DKMS - Romania minority	10	0.0	100.0
Germany DKMS - Romania minority	11	0.0	100.0
Germany DKMS - Romania minority	12	0.0	100.0
Germany DKMS - Romania minority	13	0.0	100.0
Germany DKMS - Romania minority	14	0.0	100.0
Germany DKMS - Romania minority	15	0.0	100.0
Germany DKMS - Romania minority	16	0.0	100.0
Germany DKMS - Romania minority	17	0.0	100.0
Germany DKMS - Romania minority	18	0.0	100.0
Germany DKMS - Romania minority	19	0.0	100.0
Germany DKMS - Romania minority	20	0.0	100.0
Germany DKMS - Romania minority	21	0.0	100.0
Germany DKMS - Romania minority	22	0.0	100.0
Germany DKMS - Romania minority	23	0.0	100.0
Germany DKMS - Romania minority	24	0.0	100.0
Germany DKMS - Romania minority	25	0.0	100.0
Germany DKMS - Romania minority	26	0.0	100.0
Germany DKMS - Romania minority	27	0.0	100.0
Germany DKMS - Romania minority	28	0.0	100.0
Germany DKMS - Romania minority	29	0.0	100.0
Germany DKMS - Romania minority	30	0.0	100.0
Germany DKMS - Romania minority	31	0.0	100.0
Germany DKMS - Romania minority	32	0.0	100.0
Germany DKMS - Romania minority	33	0.0	100.0
Germany DKMS - Romania minority	34	0.0	100.0
Germany DKMS - Romania minority	35	0.0	100.0
Germany DKMS - Romania minority	36	0.0	100.0
