class I
population/area	coverage	average_hit	pc90
Kosovo	100.0%	35217.18	20694.27
average	100.0%	35217.18	20694.27
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Kosovo	0	0.0	100.0
Kosovo	1	0.0	100.0
Kosovo	2	0.0	100.0
Kosovo	3	0.0	100.0
Kosovo	4	0.0	100.0
Kosovo	5	0.0	100.0
Kosovo	6	0.0	100.0
Kosovo	7	0.0	100.0
Kosovo	8	0.0	100.0
Kosovo	9	0.0	100.0
Kosovo	10	0.0	100.0
Kosovo	11	0.0	100.0
Kosovo	12	0.0	100.0
Kosovo	13	0.0	100.0
Kosovo	14	0.0	100.0
Kosovo	15	0.0	100.0
Kosovo	16	0.0	100.0
Kosovo	17	0.0	100.0
Kosovo	18	0.0	100.0
Kosovo	19	0.0	100.0
Kosovo	20	0.0	100.0
Kosovo	21	0.0	100.0
Kosovo	22	0.0	100.0
Kosovo	23	0.0	100.0
Kosovo	24	0.0	100.0
Kosovo	25	0.0	100.0
Kosovo	26	0.0	100.0
Kosovo	27	0.0	100.0
Kosovo	28	0.0	100.0
Kosovo	29	0.0	100.0
Kosovo	30	0.0	100.0
Kosovo	31	0.0	100.0
Kosovo	32	0.0	100.0
Kosovo	33	0.0	100.0
Kosovo	34	0.0	100.0
Kosovo	35	0.0	100.0
Kosovo	36	0.0	100.0
Kosovo	37	0.0	100.0
Kosovo	38	0.0	100.0
Kosovo	39	0.0	100.0
Kosovo	40	0.0	100.0
Kosovo	41	0.0	100.0
Kosovo	42	0.0	100.0
Kosovo	43	0.0	100.0
Kosovo	44	0.0	100.0
Kosovo	45	0.0	100.0
Kosovo	46	0.0	100.0
Kosovo	47	0.0	100.0
Kosovo	48	0.0	100.0
Kosovo	49	0.0	100.0
Kosovo	50	0.0	100.0
Kosovo	51	0.0	100.0
Kosovo	52	0.0	100.0
Kosovo	53	0.0	100.0
Kosovo	54	0.0	100.0
Kosovo	55	0.0	100.0
Kosovo	56	0.0	100.0
Kosovo	57	0.0	100.0
Kosovo	58	0.0	100.0
Kosovo	59	0.0	100.0
Kosovo	60	0.0	100.0
Kosovo	61	0.0	100.0
Kosovo	62	0.0	100.0
Kosovo	63	0.0	100.0
Kosovo	64	0.0	100.0
Kosovo	65	0.0	100.0
Kosovo	66	0.0	100.0
Kosovo	67	0.0	100.0
Kosovo	68	0.0	100.0
Kosovo	69	0.0	100.0
Kosovo	70	0.0	100.0
Kosovo	71	0.0	100.0
Kosovo	72	0.0	100.0
Kosovo	73	0.0	100.0
Kosovo	74	0.0	100.0
Kosovo	75	0.0	100.0
Kosovo	76	0.0	100.0
Kosovo	77	0.0	100.0
Kosovo	78	0.0	100.0
Kosovo	79	0.0	100.0
Kosovo	80	0.0	100.0
Kosovo	81	0.0	100.0
Kosovo	82	0.0	100.0
Kosovo	83	0.0	100.0
Kosovo	84	0.0	100.0
Kosovo	85	0.0	100.0
Kosovo	86	0.0	100.0
Kosovo	87	0.0	100.0
Kosovo	88	0.0	100.0
Kosovo	89	0.0	100.0
Kosovo	90	0.0	100.0
Kosovo	91	0.0	100.0
Kosovo	92	0.0	100.0
Kosovo	93	0.0	100.0
Kosovo	94	0.0	100.0
Kosovo	95	0.0	100.0
Kosovo	96	0.0	100.0
Kosovo	97	0.0	100.0
Kosovo	98	0.0	100.0
Kosovo	99	0.0	100.0
Kosovo	100	0.0	100.0
Kosovo	101	0.0	100.0
Kosovo	102	0.0	100.0
Kosovo	103	0.0	100.0
Kosovo	104	0.0	100.0
Kosovo	105	0.0	100.0
Kosovo	106	0.0	100.0
Kosovo	107	0.0	100.0
Kosovo	108	0.0	100.0
Kosovo	109	0.0	100.0
Kosovo	110	0.0	100.0
Kosovo	111	0.0	100.0
Kosovo	112	0.0	100.0
Kosovo	113	0.0	100.0
Kosovo	114	0.0	100.0
Kosovo	115	0.0	100.0
Kosovo	116	0.0	100.0
Kosovo	117	0.0	100.0
Kosovo	118	0.0	100.0
Kosovo	119	0.0	100.0
Kosovo	120	0.0	100.0
Kosovo	121	0.0	100.0
Kosovo	122	0.0	100.0
Kosovo	123	0.0	100.0
Kosovo	124	0.0	100.0
Kosovo	125	0.0	100.0
Kosovo	126	0.0	100.0
Kosovo	127	0.0	100.0
Kosovo	128	0.0	100.0
Kosovo	129	0.0	100.0
Kosovo	130	0.0	100.0
Kosovo	131	0.0	100.0
Kosovo	132	0.0	100.0
Kosovo	133	0.0	100.0
Kosovo	134	0.0	100.0
Kosovo	135	0.0	100.0
Kosovo	136	0.0	100.0
Kosovo	137	0.0	100.0
Kosovo	138	0.0	100.0
Kosovo	139	0.0	100.0
Kosovo	140	0.0	100.0
Kosovo	141	0.0	100.0
Kosovo	142	0.0	100.0
Kosovo	143	0.0	100.0
Kosovo	144	0.0	100.0
Kosovo	145	0.0	100.0
Kosovo	146	0.0	100.0
Kosovo	147	0.0	100.0
Kosovo	148	0.0	100.0
Kosovo	149	0.0	100.0
Kosovo	150	0.0	100.0
Kosovo	151	0.0	100.0
Kosovo	152	0.0	100.0
Kosovo	153	0.0	100.0
Kosovo	154	0.0	100.0
Kosovo	155	0.0	100.0
Kosovo	156	0.0	100.0
Kosovo	157	0.0	100.0
Kosovo	158	0.0	100.0
Kosovo	159	0.0	100.0
Kosovo	160	0.0	100.0
Kosovo	161	0.0	100.0
Kosovo	162	0.0	100.0
Kosovo	163	0.0	100.0
Kosovo	164	0.0	100.0
Kosovo	165	0.0	100.0
Kosovo	166	0.0	100.0
Kosovo	167	0.0	100.0
Kosovo	168	0.0	100.0
Kosovo	169	0.0	100.0
Kosovo	170	0.0	100.0
Kosovo	171	0.0	100.0
Kosovo	172	0.0	100.0
Kosovo	173	0.0	100.0
Kosovo	174	0.0	100.0
Kosovo	175	0.0	100.0
Kosovo	176	0.0	100.0
Kosovo	177	0.0	100.0
Kosovo	178	0.0	100.0
Kosovo	179	0.0	100.0
Kosovo	180	0.0	100.0
Kosovo	181	0.0	100.0
Kosovo	182	0.0	100.0
Kosovo	183	0.0	100.0
Kosovo	184	0.0	100.0
Kosovo	185	0.0	100.0
Kosovo	186	0.0	100.0
Kosovo	187	0.0	100.0
Kosovo	188	0.0	100.0
Kosovo	189	0.0	100.0
Kosovo	190	0.0	100.0
Kosovo	191	0.0	100.0
Kosovo	192	0.0	100.0
Kosovo	193	0.0	100.0
Kosovo	194	0.0	100.0
Kosovo	195	0.0	100.0
Kosovo	196	0.0	100.0
Kosovo	197	0.0	100.0
Kosovo	198	0.0	100.0
Kosovo	199	0.0	100.0
Kosovo	200	0.0	100.0
Kosovo	201	0.0	100.0
Kosovo	202	0.0	100.0
Kosovo	203	0.0	100.0
Kosovo	204	0.0	100.0
Kosovo	205	0.0	100.0
Kosovo	206	0.0	100.0
Kosovo	207	0.0	100.0
Kosovo	208	0.0	100.0
Kosovo	209	0.0	100.0
Kosovo	210	0.0	100.0
Kosovo	211	0.0	100.0
Kosovo	212	0.0	100.0
Kosovo	213	0.0	100.0
Kosovo	214	0.0	100.0
Kosovo	215	0.0	100.0
Kosovo	216	0.0	100.0
Kosovo	217	0.0	100.0
Kosovo	218	0.0	100.0
Kosovo	219	0.0	100.0
Kosovo	220	0.0	100.0
Kosovo	221	0.0	100.0
Kosovo	222	0.0	100.0
Kosovo	223	0.0	100.0
Kosovo	224	0.0	100.0
Kosovo	225	0.0	100.0
Kosovo	226	0.0	100.0
Kosovo	227	0.0	100.0
Kosovo	228	0.0	100.0
Kosovo	229	0.0	100.0
Kosovo	230	0.0	100.0
Kosovo	231	0.0	100.0
Kosovo	232	0.0	100.0
Kosovo	233	0.0	100.0
Kosovo	234	0.0	100.0
Kosovo	235	0.0	100.0
Kosovo	236	0.0	100.0
Kosovo	237	0.0	100.0
Kosovo	238	0.0	100.0
Kosovo	239	0.0	100.0
Kosovo	240	0.0	100.0
Kosovo	241	0.0	100.0
Kosovo	242	0.0	100.0
Kosovo	243	0.0	100.0
Kosovo	244	0.0	100.0
Kosovo	245	0.0	100.0
Kosovo	246	0.0	100.0
Kosovo	247	0.0	100.0
Kosovo	248	0.0	100.0
Kosovo	249	0.0	100.0
Kosovo	250	0.0	100.0
Kosovo	251	0.0	100.0
Kosovo	252	0.0	100.0
Kosovo	253	0.0	100.0
Kosovo	254	0.0	100.0
Kosovo	255	0.0	100.0
Kosovo	256	0.0	100.0
Kosovo	257	0.0	100.0
Kosovo	258	0.0	100.0
Kosovo	259	0.0	100.0
Kosovo	260	0.0	100.0
Kosovo	261	0.0	100.0
Kosovo	262	0.0	100.0
Kosovo	263	0.0	100.0
Kosovo	264	0.0	100.0
Kosovo	265	0.0	100.0
Kosovo	266	0.0	100.0
Kosovo	267	0.0	100.0
Kosovo	268	0.0	100.0
Kosovo	269	0.0	100.0
Kosovo	270	0.0	100.0
Kosovo	271	0.0	100.0
Kosovo	272	0.0	100.0
Kosovo	273	0.0	100.0
Kosovo	274	0.0	100.0
Kosovo	275	0.0	100.0
Kosovo	276	0.0	100.0
Kosovo	277	0.0	100.0
Kosovo	278	0.0	100.0
Kosovo	279	0.0	100.0
Kosovo	280	0.0	100.0
Kosovo	281	0.0	100.0
Kosovo	282	0.0	100.0
Kosovo	283	0.0	100.0
Kosovo	284	0.0	100.0
Kosovo	285	0.0	100.0
Kosovo	286	0.0	100.0
Kosovo	287	0.0	100.0
Kosovo	288	0.0	100.0
Kosovo	289	0.0	100.0
Kosovo	290	0.0	100.0
Kosovo	291	0.0	100.0
Kosovo	292	0.0	100.0
Kosovo	293	0.0	100.0
Kosovo	294	0.0	100.0
Kosovo	295	0.0	100.0
Kosovo	296	0.0	100.0
Kosovo	297	0.0	100.0
Kosovo	298	0.0	100.0
Kosovo	299	0.0	100.0
Kosovo	300	0.0	100.0
Kosovo	301	0.0	100.0
Kosovo	302	0.0	100.0
Kosovo	303	0.0	100.0
Kosovo	304	0.0	100.0
Kosovo	305	0.0	100.0
