class I
population/area	coverage	average_hit	pc90
Portugal Azores Terceira Island	100.0%	33864.0	18740.17
average	100.0%	33864.0	18740.17
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Portugal Azores Terceira Island	0	0.0	100.0
Portugal Azores Terceira Island	1	0.0	100.0
Portugal Azores Terceira Island	2	0.0	100.0
Portugal Azores Terceira Island	3	0.0	100.0
Portugal Azores Terceira Island	4	0.0	100.0
Portugal Azores Terceira Island	5	0.0	100.0
Portugal Azores Terceira Island	6	0.0	100.0
Portugal Azores Terceira Island	7	0.0	100.0
Portugal Azores Terceira Island	8	0.0	100.0
Portugal Azores Terceira Island	9	0.0	100.0
Portugal Azores Terceira Island	10	0.0	100.0
Portugal Azores Terceira Island	11	0.0	100.0
Portugal Azores Terceira Island	12	0.0	100.0
Portugal Azores Terceira Island	13	0.0	100.0
Portugal Azores Terceira Island	14	0.0	100.0
Portugal Azores Terceira Island	15	0.0	100.0
Portugal Azores Terceira Island	16	0.0	100.0
Portugal Azores Terceira Island	17	0.0	100.0
Portugal Azores Terceira Island	18	0.0	100.0
Portugal Azores Terceira Island	19	0.0	100.0
Portugal Azores Terceira Island	20	0.0	100.0
Portugal Azores Terceira Island	21	0.0	100.0
Portugal Azores Terceira Island	22	0.0	100.0
Portugal Azores Terceira Island	23	0.0	100.0
Portugal Azores Terceira Island	24	0.0	100.0
Portugal Azores Terceira Island	25	0.0	100.0
Portugal Azores Terceira Island	26	0.0	100.0
Portugal Azores Terceira Island	27	0.0	100.0
Portugal Azores Terceira Island	28	0.0	100.0
Portugal Azores Terceira Island	29	0.0	100.0
Portugal Azores Terceira Island	30	0.0	100.0
Portugal Azores Terceira Island	31	0.0	100.0
Portugal Azores Terceira Island	32	0.0	100.0
Portugal Azores Terceira Island	33	0.0	100.0
Portugal Azores Terceira Island	34	0.0	100.0
Portugal Azores Terceira Island	35	0.0	100.0
Portugal Azores Terceira Island	36	0.0	100.0
