class I
population/area	coverage	average_hit	pc90
USA NMDP Alaska Native or Aleut	100.0%	36270.73	21906.06
average	100.0%	36270.73	21906.06
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Alaska Native or Aleut	0	0.0	100.0
USA NMDP Alaska Native or Aleut	1	0.0	100.0
USA NMDP Alaska Native or Aleut	2	0.0	100.0
USA NMDP Alaska Native or Aleut	3	0.0	100.0
USA NMDP Alaska Native or Aleut	4	0.0	100.0
USA NMDP Alaska Native or Aleut	5	0.0	100.0
USA NMDP Alaska Native or Aleut	6	0.0	100.0
USA NMDP Alaska Native or Aleut	7	0.0	100.0
USA NMDP Alaska Native or Aleut	8	0.0	100.0
USA NMDP Alaska Native or Aleut	9	0.0	100.0
USA NMDP Alaska Native or Aleut	10	0.0	100.0
USA NMDP Alaska Native or Aleut	11	0.0	100.0
USA NMDP Alaska Native or Aleut	12	0.0	100.0
USA NMDP Alaska Native or Aleut	13	0.0	100.0
USA NMDP Alaska Native or Aleut	14	0.0	100.0
USA NMDP Alaska Native or Aleut	15	0.0	100.0
USA NMDP Alaska Native or Aleut	16	0.0	100.0
USA NMDP Alaska Native or Aleut	17	0.0	100.0
USA NMDP Alaska Native or Aleut	18	0.0	100.0
USA NMDP Alaska Native or Aleut	19	0.0	100.0
USA NMDP Alaska Native or Aleut	20	0.0	100.0
USA NMDP Alaska Native or Aleut	21	0.0	100.0
USA NMDP Alaska Native or Aleut	22	0.0	100.0
USA NMDP Alaska Native or Aleut	23	0.0	100.0
USA NMDP Alaska Native or Aleut	24	0.0	100.0
USA NMDP Alaska Native or Aleut	25	0.0	100.0
USA NMDP Alaska Native or Aleut	26	0.0	100.0
USA NMDP Alaska Native or Aleut	27	0.0	100.0
USA NMDP Alaska Native or Aleut	28	0.0	100.0
USA NMDP Alaska Native or Aleut	29	0.0	100.0
USA NMDP Alaska Native or Aleut	30	0.0	100.0
USA NMDP Alaska Native or Aleut	31	0.0	100.0
USA NMDP Alaska Native or Aleut	32	0.0	100.0
USA NMDP Alaska Native or Aleut	33	0.0	100.0
USA NMDP Alaska Native or Aleut	34	0.0	100.0
USA NMDP Alaska Native or Aleut	35	0.0	100.0
USA NMDP Alaska Native or Aleut	36	0.0	100.0
USA NMDP Alaska Native or Aleut	37	0.0	100.0
USA NMDP Alaska Native or Aleut	38	0.0	100.0
USA NMDP Alaska Native or Aleut	39	0.0	100.0
USA NMDP Alaska Native or Aleut	40	0.0	100.0
USA NMDP Alaska Native or Aleut	41	0.0	100.0
USA NMDP Alaska Native or Aleut	42	0.0	100.0
USA NMDP Alaska Native or Aleut	43	0.0	100.0
USA NMDP Alaska Native or Aleut	44	0.0	100.0
USA NMDP Alaska Native or Aleut	45	0.0	100.0
USA NMDP Alaska Native or Aleut	46	0.0	100.0
USA NMDP Alaska Native or Aleut	47	0.0	100.0
USA NMDP Alaska Native or Aleut	48	0.0	100.0
USA NMDP Alaska Native or Aleut	49	0.0	100.0
USA NMDP Alaska Native or Aleut	50	0.0	100.0
USA NMDP Alaska Native or Aleut	51	0.0	100.0
USA NMDP Alaska Native or Aleut	52	0.0	100.0
USA NMDP Alaska Native or Aleut	53	0.0	100.0
USA NMDP Alaska Native or Aleut	54	0.0	100.0
USA NMDP Alaska Native or Aleut	55	0.0	100.0
USA NMDP Alaska Native or Aleut	56	0.0	100.0
USA NMDP Alaska Native or Aleut	57	0.0	100.0
USA NMDP Alaska Native or Aleut	58	0.0	100.0
USA NMDP Alaska Native or Aleut	59	0.0	100.0
USA NMDP Alaska Native or Aleut	60	0.0	100.0
USA NMDP Alaska Native or Aleut	61	0.0	100.0
USA NMDP Alaska Native or Aleut	62	0.0	100.0
USA NMDP Alaska Native or Aleut	63	0.0	100.0
USA NMDP Alaska Native or Aleut	64	0.0	100.0
USA NMDP Alaska Native or Aleut	65	0.0	100.0
USA NMDP Alaska Native or Aleut	66	0.0	100.0
USA NMDP Alaska Native or Aleut	67	0.0	100.0
USA NMDP Alaska Native or Aleut	68	0.0	100.0
USA NMDP Alaska Native or Aleut	69	0.0	100.0
USA NMDP Alaska Native or Aleut	70	0.0	100.0
USA NMDP Alaska Native or Aleut	71	0.0	100.0
USA NMDP Alaska Native or Aleut	72	0.0	100.0
USA NMDP Alaska Native or Aleut	73	0.0	100.0
USA NMDP Alaska Native or Aleut	74	0.0	100.0
USA NMDP Alaska Native or Aleut	75	0.0	100.0
USA NMDP Alaska Native or Aleut	76	0.0	100.0
USA NMDP Alaska Native or Aleut	77	0.0	100.0
USA NMDP Alaska Native or Aleut	78	0.0	100.0
USA NMDP Alaska Native or Aleut	79	0.0	100.0
USA NMDP Alaska Native or Aleut	80	0.0	100.0
USA NMDP Alaska Native or Aleut	81	0.0	100.0
USA NMDP Alaska Native or Aleut	82	0.0	100.0
USA NMDP Alaska Native or Aleut	83	0.0	100.0
USA NMDP Alaska Native or Aleut	84	0.0	100.0
USA NMDP Alaska Native or Aleut	85	0.0	100.0
USA NMDP Alaska Native or Aleut	86	0.0	100.0
USA NMDP Alaska Native or Aleut	87	0.0	100.0
USA NMDP Alaska Native or Aleut	88	0.0	100.0
USA NMDP Alaska Native or Aleut	89	0.0	100.0
USA NMDP Alaska Native or Aleut	90	0.0	100.0
USA NMDP Alaska Native or Aleut	91	0.0	100.0
USA NMDP Alaska Native or Aleut	92	0.0	100.0
USA NMDP Alaska Native or Aleut	93	0.0	100.0
USA NMDP Alaska Native or Aleut	94	0.0	100.0
USA NMDP Alaska Native or Aleut	95	0.0	100.0
USA NMDP Alaska Native or Aleut	96	0.0	100.0
USA NMDP Alaska Native or Aleut	97	0.0	100.0
USA NMDP Alaska Native or Aleut	98	0.0	100.0
USA NMDP Alaska Native or Aleut	99	0.0	100.0
USA NMDP Alaska Native or Aleut	100	0.0	100.0
USA NMDP Alaska Native or Aleut	101	0.0	100.0
USA NMDP Alaska Native or Aleut	102	0.0	100.0
USA NMDP Alaska Native or Aleut	103	0.0	100.0
USA NMDP Alaska Native or Aleut	104	0.0	100.0
USA NMDP Alaska Native or Aleut	105	0.0	100.0
USA NMDP Alaska Native or Aleut	106	0.0	100.0
USA NMDP Alaska Native or Aleut	107	0.0	100.0
USA NMDP Alaska Native or Aleut	108	0.0	100.0
USA NMDP Alaska Native or Aleut	109	0.0	100.0
USA NMDP Alaska Native or Aleut	110	0.0	100.0
USA NMDP Alaska Native or Aleut	111	0.0	100.0
USA NMDP Alaska Native or Aleut	112	0.0	100.0
USA NMDP Alaska Native or Aleut	113	0.0	100.0
USA NMDP Alaska Native or Aleut	114	0.0	100.0
USA NMDP Alaska Native or Aleut	115	0.0	100.0
