class I
population/area	coverage	average_hit	pc90
Brazil Barra Mansa Rio State Black	100.0%	31433.83	17299.39
average	100.0%	31433.83	17299.39
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Brazil Barra Mansa Rio State Black	0	0.0	100.0
Brazil Barra Mansa Rio State Black	1	0.0	100.0
Brazil Barra Mansa Rio State Black	2	0.0	100.0
Brazil Barra Mansa Rio State Black	3	0.0	100.0
Brazil Barra Mansa Rio State Black	4	0.0	100.0
Brazil Barra Mansa Rio State Black	5	0.0	100.0
Brazil Barra Mansa Rio State Black	6	0.0	100.0
Brazil Barra Mansa Rio State Black	7	0.0	100.0
Brazil Barra Mansa Rio State Black	8	0.0	100.0
Brazil Barra Mansa Rio State Black	9	0.0	100.0
Brazil Barra Mansa Rio State Black	10	0.0	100.0
Brazil Barra Mansa Rio State Black	11	0.0	100.0
Brazil Barra Mansa Rio State Black	12	0.0	100.0
Brazil Barra Mansa Rio State Black	13	0.0	100.0
Brazil Barra Mansa Rio State Black	14	0.0	100.0
Brazil Barra Mansa Rio State Black	15	0.0	100.0
Brazil Barra Mansa Rio State Black	16	0.0	100.0
Brazil Barra Mansa Rio State Black	17	0.0	100.0
Brazil Barra Mansa Rio State Black	18	0.0	100.0
Brazil Barra Mansa Rio State Black	19	0.0	100.0
Brazil Barra Mansa Rio State Black	20	0.0	100.0
Brazil Barra Mansa Rio State Black	21	0.0	100.0
Brazil Barra Mansa Rio State Black	22	0.0	100.0
Brazil Barra Mansa Rio State Black	23	0.0	100.0
Brazil Barra Mansa Rio State Black	24	0.0	100.0
Brazil Barra Mansa Rio State Black	25	0.0	100.0
Brazil Barra Mansa Rio State Black	26	0.0	100.0
Brazil Barra Mansa Rio State Black	27	0.0	100.0
Brazil Barra Mansa Rio State Black	28	0.0	100.0
Brazil Barra Mansa Rio State Black	29	0.0	100.0
Brazil Barra Mansa Rio State Black	30	0.0	100.0
Brazil Barra Mansa Rio State Black	31	0.0	100.0
Brazil Barra Mansa Rio State Black	32	0.0	100.0
Brazil Barra Mansa Rio State Black	33	0.0	100.0
Brazil Barra Mansa Rio State Black	34	0.0	100.0
Brazil Barra Mansa Rio State Black	35	0.0	100.0
Brazil Barra Mansa Rio State Black	36	0.0	100.0
Brazil Barra Mansa Rio State Black	37	0.0	100.0
Brazil Barra Mansa Rio State Black	38	0.0	100.0
Brazil Barra Mansa Rio State Black	39	0.0	100.0
Brazil Barra Mansa Rio State Black	40	0.0	100.0
Brazil Barra Mansa Rio State Black	41	0.0	100.0
Brazil Barra Mansa Rio State Black	42	0.0	100.0
Brazil Barra Mansa Rio State Black	43	0.0	100.0
Brazil Barra Mansa Rio State Black	44	0.0	100.0
Brazil Barra Mansa Rio State Black	45	0.0	100.0
Brazil Barra Mansa Rio State Black	46	0.0	100.0
Brazil Barra Mansa Rio State Black	47	0.0	100.0
Brazil Barra Mansa Rio State Black	48	0.0	100.0
Brazil Barra Mansa Rio State Black	49	0.0	100.0
