class I
population/area	coverage	average_hit	pc90
Singapore SGVP Malay MAS	100.0%	24694.99	12971.77
average	100.0%	24694.99	12971.77
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Singapore SGVP Malay MAS	0	0.0	100.0
Singapore SGVP Malay MAS	1	0.0	100.0
Singapore SGVP Malay MAS	2	0.0	100.0
Singapore SGVP Malay MAS	3	0.0	100.0
Singapore SGVP Malay MAS	4	0.0	100.0
Singapore SGVP Malay MAS	5	0.0	100.0
Singapore SGVP Malay MAS	6	0.0	100.0
Singapore SGVP Malay MAS	7	0.0	100.0
Singapore SGVP Malay MAS	8	0.0	100.0
Singapore SGVP Malay MAS	9	0.0	100.0
Singapore SGVP Malay MAS	10	0.0	100.0
Singapore SGVP Malay MAS	11	0.0	100.0
Singapore SGVP Malay MAS	12	0.0	100.0
Singapore SGVP Malay MAS	13	0.0	100.0
Singapore SGVP Malay MAS	14	0.0	100.0
Singapore SGVP Malay MAS	15	0.0	100.0
Singapore SGVP Malay MAS	16	0.0	100.0
Singapore SGVP Malay MAS	17	0.0	100.0
Singapore SGVP Malay MAS	18	0.0	100.0
Singapore SGVP Malay MAS	19	0.0	100.0
Singapore SGVP Malay MAS	20	0.0	100.0
Singapore SGVP Malay MAS	21	0.0	100.0
Singapore SGVP Malay MAS	22	0.0	100.0
Singapore SGVP Malay MAS	23	0.0	100.0
Singapore SGVP Malay MAS	24	0.0	100.0
Singapore SGVP Malay MAS	25	0.0	100.0
Singapore SGVP Malay MAS	26	0.0	100.0
Singapore SGVP Malay MAS	27	0.0	100.0
Singapore SGVP Malay MAS	28	0.0	100.0
Singapore SGVP Malay MAS	29	0.0	100.0
Singapore SGVP Malay MAS	30	0.0	100.0
Singapore SGVP Malay MAS	31	0.0	100.0
Singapore SGVP Malay MAS	32	0.0	100.0
Singapore SGVP Malay MAS	33	0.0	100.0
Singapore SGVP Malay MAS	34	0.0	100.0
Singapore SGVP Malay MAS	35	0.0	100.0
Singapore SGVP Malay MAS	36	0.0	100.0
Singapore SGVP Malay MAS	37	0.0	100.0
Singapore SGVP Malay MAS	38	0.0	100.0
Singapore SGVP Malay MAS	39	0.0	100.0
Singapore SGVP Malay MAS	40	0.0	100.0
Singapore SGVP Malay MAS	41	0.0	100.0
Singapore SGVP Malay MAS	42	0.0	100.0
Singapore SGVP Malay MAS	43	0.0	100.0
Singapore SGVP Malay MAS	44	0.0	100.0
Singapore SGVP Malay MAS	45	0.0	100.0
Singapore SGVP Malay MAS	46	0.0	100.0
Singapore SGVP Malay MAS	47	0.0	100.0
Singapore SGVP Malay MAS	48	0.0	100.0
Singapore SGVP Malay MAS	49	0.0	100.0
Singapore SGVP Malay MAS	50	0.0	100.0
Singapore SGVP Malay MAS	51	0.0	100.0
Singapore SGVP Malay MAS	52	0.0	100.0
Singapore SGVP Malay MAS	53	0.0	100.0
Singapore SGVP Malay MAS	54	0.0	100.0
Singapore SGVP Malay MAS	55	0.0	100.0
Singapore SGVP Malay MAS	56	0.0	100.0
Singapore SGVP Malay MAS	57	0.0	100.0
Singapore SGVP Malay MAS	58	0.0	100.0
Singapore SGVP Malay MAS	59	0.0	100.0
Singapore SGVP Malay MAS	60	0.0	100.0
Singapore SGVP Malay MAS	61	0.0	100.0
Singapore SGVP Malay MAS	62	0.0	100.0
Singapore SGVP Malay MAS	63	0.0	100.0
Singapore SGVP Malay MAS	64	0.0	100.0
Singapore SGVP Malay MAS	65	0.0	100.0
Singapore SGVP Malay MAS	66	0.0	100.0
Singapore SGVP Malay MAS	67	0.0	100.0
Singapore SGVP Malay MAS	68	0.0	100.0
Singapore SGVP Malay MAS	69	0.0	100.0
Singapore SGVP Malay MAS	70	0.0	100.0
Singapore SGVP Malay MAS	71	0.0	100.0
Singapore SGVP Malay MAS	72	0.0	100.0
Singapore SGVP Malay MAS	73	0.0	100.0
Singapore SGVP Malay MAS	74	0.0	100.0
Singapore SGVP Malay MAS	75	0.0	100.0
Singapore SGVP Malay MAS	76	0.0	100.0
Singapore SGVP Malay MAS	77	0.0	100.0
Singapore SGVP Malay MAS	78	0.0	100.0
Singapore SGVP Malay MAS	79	0.0	100.0
Singapore SGVP Malay MAS	80	0.0	100.0
Singapore SGVP Malay MAS	81	0.0	100.0
Singapore SGVP Malay MAS	82	0.0	100.0
Singapore SGVP Malay MAS	83	0.0	100.0
Singapore SGVP Malay MAS	84	0.0	100.0
Singapore SGVP Malay MAS	85	0.0	100.0
Singapore SGVP Malay MAS	86	0.0	100.0
Singapore SGVP Malay MAS	87	0.0	100.0
Singapore SGVP Malay MAS	88	0.0	100.0
Singapore SGVP Malay MAS	89	0.0	100.0
Singapore SGVP Malay MAS	90	0.0	100.0
Singapore SGVP Malay MAS	91	0.0	100.0
Singapore SGVP Malay MAS	92	0.0	100.0
Singapore SGVP Malay MAS	93	0.0	100.0
Singapore SGVP Malay MAS	94	0.0	100.0
Singapore SGVP Malay MAS	95	0.0	100.0
Singapore SGVP Malay MAS	96	0.0	100.0
Singapore SGVP Malay MAS	97	0.0	100.0
Singapore SGVP Malay MAS	98	0.0	100.0
Singapore SGVP Malay MAS	99	0.0	100.0
Singapore SGVP Malay MAS	100	0.0	100.0
Singapore SGVP Malay MAS	101	0.0	100.0
Singapore SGVP Malay MAS	102	0.0	100.0
Singapore SGVP Malay MAS	103	0.0	100.0
Singapore SGVP Malay MAS	104	0.0	100.0
Singapore SGVP Malay MAS	105	0.0	100.0
Singapore SGVP Malay MAS	106	0.0	100.0
Singapore SGVP Malay MAS	107	0.0	100.0
Singapore SGVP Malay MAS	108	0.0	100.0
Singapore SGVP Malay MAS	109	0.0	100.0
Singapore SGVP Malay MAS	110	0.0	100.0
Singapore SGVP Malay MAS	111	0.0	100.0
Singapore SGVP Malay MAS	112	0.0	100.0
Singapore SGVP Malay MAS	113	0.0	100.0
Singapore SGVP Malay MAS	114	0.0	100.0
Singapore SGVP Malay MAS	115	0.0	100.0
Singapore SGVP Malay MAS	116	0.0	100.0
Singapore SGVP Malay MAS	117	0.0	100.0
Singapore SGVP Malay MAS	118	0.0	100.0
Singapore SGVP Malay MAS	119	0.0	100.0
Singapore SGVP Malay MAS	120	0.0	100.0
Singapore SGVP Malay MAS	121	0.0	100.0
Singapore SGVP Malay MAS	122	0.0	100.0
Singapore SGVP Malay MAS	123	0.0	100.0
Singapore SGVP Malay MAS	124	0.0	100.0
Singapore SGVP Malay MAS	125	0.0	100.0
