class I
population/area	coverage	average_hit	pc90
China Guangzhou	100.0%	20656.97	10615.69
average	100.0%	20656.97	10615.69
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Guangzhou	0	0.0	100.0
China Guangzhou	1	0.0	100.0
China Guangzhou	2	0.0	100.0
China Guangzhou	3	0.0	100.0
China Guangzhou	4	0.0	100.0
China Guangzhou	5	0.0	100.0
China Guangzhou	6	0.0	100.0
China Guangzhou	7	0.0	100.0
China Guangzhou	8	0.0	100.0
China Guangzhou	9	0.0	100.0
China Guangzhou	10	0.0	100.0
China Guangzhou	11	0.0	100.0
China Guangzhou	12	0.0	100.0
China Guangzhou	13	0.0	100.0
China Guangzhou	14	0.0	100.0
China Guangzhou	15	0.0	100.0
China Guangzhou	16	0.0	100.0
China Guangzhou	17	0.0	100.0
China Guangzhou	18	0.0	100.0
China Guangzhou	19	0.0	100.0
China Guangzhou	20	0.0	100.0
China Guangzhou	21	0.0	100.0
China Guangzhou	22	0.0	100.0
China Guangzhou	23	0.0	100.0
China Guangzhou	24	0.0	100.0
China Guangzhou	25	0.0	100.0
China Guangzhou	26	0.0	100.0
China Guangzhou	27	0.0	100.0
China Guangzhou	28	0.0	100.0
China Guangzhou	29	0.0	100.0
China Guangzhou	30	0.0	100.0
China Guangzhou	31	0.0	100.0
China Guangzhou	32	0.0	100.0
China Guangzhou	33	0.0	100.0
China Guangzhou	34	0.0	100.0
China Guangzhou	35	0.0	100.0
China Guangzhou	36	0.0	100.0
China Guangzhou	37	0.0	100.0
China Guangzhou	38	0.0	100.0
China Guangzhou	39	0.0	100.0
China Guangzhou	40	0.0	100.0
China Guangzhou	41	0.0	100.0
China Guangzhou	42	0.0	100.0
China Guangzhou	43	0.0	100.0
China Guangzhou	44	0.0	100.0
China Guangzhou	45	0.0	100.0
China Guangzhou	46	0.0	100.0
China Guangzhou	47	0.0	100.0
China Guangzhou	48	0.0	100.0
China Guangzhou	49	0.0	100.0
China Guangzhou	50	0.0	100.0
China Guangzhou	51	0.0	100.0
China Guangzhou	52	0.0	100.0
China Guangzhou	53	0.0	100.0
China Guangzhou	54	0.0	100.0
China Guangzhou	55	0.0	100.0
China Guangzhou	56	0.0	100.0
China Guangzhou	57	0.0	100.0
China Guangzhou	58	0.0	100.0
China Guangzhou	59	0.0	100.0
China Guangzhou	60	0.0	100.0
China Guangzhou	61	0.0	100.0
China Guangzhou	62	0.0	100.0
China Guangzhou	63	0.0	100.0
China Guangzhou	64	0.0	100.0
China Guangzhou	65	0.0	100.0
China Guangzhou	66	0.0	100.0
China Guangzhou	67	0.0	100.0
China Guangzhou	68	0.0	100.0
China Guangzhou	69	0.0	100.0
China Guangzhou	70	0.0	100.0
China Guangzhou	71	0.0	100.0
China Guangzhou	72	0.0	100.0
China Guangzhou	73	0.0	100.0
China Guangzhou	74	0.0	100.0
China Guangzhou	75	0.0	100.0
China Guangzhou	76	0.0	100.0
China Guangzhou	77	0.0	100.0
China Guangzhou	78	0.0	100.0
China Guangzhou	79	0.0	100.0
China Guangzhou	80	0.0	100.0
China Guangzhou	81	0.0	100.0
China Guangzhou	82	0.0	100.0
China Guangzhou	83	0.0	100.0
China Guangzhou	84	0.0	100.0
China Guangzhou	85	0.0	100.0
China Guangzhou	86	0.0	100.0
China Guangzhou	87	0.0	100.0
China Guangzhou	88	0.0	100.0
China Guangzhou	89	0.0	100.0
China Guangzhou	90	0.0	100.0
China Guangzhou	91	0.0	100.0
China Guangzhou	92	0.0	100.0
China Guangzhou	93	0.0	100.0
China Guangzhou	94	0.0	100.0
China Guangzhou	95	0.0	100.0
China Guangzhou	96	0.0	100.0
China Guangzhou	97	0.0	100.0
China Guangzhou	98	0.0	100.0
China Guangzhou	99	0.0	100.0
China Guangzhou	100	0.0	100.0
China Guangzhou	101	0.0	100.0
China Guangzhou	102	0.0	100.0
China Guangzhou	103	0.0	100.0
China Guangzhou	104	0.0	100.0
China Guangzhou	105	0.0	100.0
China Guangzhou	106	0.0	100.0
China Guangzhou	107	0.0	100.0
China Guangzhou	108	0.0	100.0
China Guangzhou	109	0.0	100.0
China Guangzhou	110	0.0	100.0
China Guangzhou	111	0.0	100.0
China Guangzhou	112	0.0	100.0
China Guangzhou	113	0.0	100.0
China Guangzhou	114	0.0	100.0
China Guangzhou	115	0.0	100.0
China Guangzhou	116	0.0	100.0
China Guangzhou	117	0.0	100.0
China Guangzhou	118	0.0	100.0
China Guangzhou	119	0.0	100.0
China Guangzhou	120	0.0	100.0
China Guangzhou	121	0.0	100.0
China Guangzhou	122	0.0	100.0
China Guangzhou	123	0.0	100.0
China Guangzhou	124	0.0	100.0
China Guangzhou	125	0.0	100.0
China Guangzhou	126	0.0	100.0
China Guangzhou	127	0.0	100.0
China Guangzhou	128	0.0	100.0
China Guangzhou	129	0.0	100.0
China Guangzhou	130	0.0	100.0
China Guangzhou	131	0.0	100.0
China Guangzhou	132	0.0	100.0
China Guangzhou	133	0.0	100.0
China Guangzhou	134	0.0	100.0
China Guangzhou	135	0.0	100.0
China Guangzhou	136	0.0	100.0
China Guangzhou	137	0.0	100.0
China Guangzhou	138	0.0	100.0
China Guangzhou	139	0.0	100.0
China Guangzhou	140	0.0	100.0
China Guangzhou	141	0.0	100.0
China Guangzhou	142	0.0	100.0
China Guangzhou	143	0.0	100.0
China Guangzhou	144	0.0	100.0
China Guangzhou	145	0.0	100.0
China Guangzhou	146	0.0	100.0
China Guangzhou	147	0.0	100.0
China Guangzhou	148	0.0	100.0
China Guangzhou	149	0.0	100.0
China Guangzhou	150	0.0	100.0
China Guangzhou	151	0.0	100.0
China Guangzhou	152	0.0	100.0
China Guangzhou	153	0.0	100.0
China Guangzhou	154	0.0	100.0
China Guangzhou	155	0.0	100.0
China Guangzhou	156	0.0	100.0
China Guangzhou	157	0.0	100.0
China Guangzhou	158	0.0	100.0
China Guangzhou	159	0.0	100.0
China Guangzhou	160	0.0	100.0
China Guangzhou	161	0.0	100.0
China Guangzhou	162	0.0	100.0
China Guangzhou	163	0.0	100.0
China Guangzhou	164	0.0	100.0
China Guangzhou	165	0.0	100.0
China Guangzhou	166	0.0	100.0
China Guangzhou	167	0.0	100.0
China Guangzhou	168	0.0	100.0
China Guangzhou	169	0.0	100.0
China Guangzhou	170	0.0	100.0
China Guangzhou	171	0.0	100.0
China Guangzhou	172	0.0	100.0
China Guangzhou	173	0.0	100.0
China Guangzhou	174	0.0	100.0
China Guangzhou	175	0.0	100.0
China Guangzhou	176	0.0	100.0
China Guangzhou	177	0.0	100.0
China Guangzhou	178	0.0	100.0
China Guangzhou	179	0.0	100.0
China Guangzhou	180	0.0	100.0
China Guangzhou	181	0.0	100.0
China Guangzhou	182	0.0	100.0
China Guangzhou	183	0.0	100.0
China Guangzhou	184	0.0	100.0
China Guangzhou	185	0.0	100.0
China Guangzhou	186	0.0	100.0
China Guangzhou	187	0.0	100.0
China Guangzhou	188	0.0	100.0
China Guangzhou	189	0.0	100.0
China Guangzhou	190	0.0	100.0
China Guangzhou	191	0.0	100.0
China Guangzhou	192	0.0	100.0
China Guangzhou	193	0.0	100.0
China Guangzhou	194	0.0	100.0
China Guangzhou	195	0.0	100.0
China Guangzhou	196	0.0	100.0
China Guangzhou	197	0.0	100.0
China Guangzhou	198	0.0	100.0
China Guangzhou	199	0.0	100.0
