class I
population/area	coverage	average_hit	pc90
USA Asian	100.0%	21569.65	10417.22
average	100.0%	21569.65	10417.22
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA Asian	0	0.0	100.0
USA Asian	1	0.0	100.0
USA Asian	2	0.0	100.0
USA Asian	3	0.0	100.0
USA Asian	4	0.0	100.0
USA Asian	5	0.0	100.0
USA Asian	6	0.0	100.0
USA Asian	7	0.0	100.0
USA Asian	8	0.0	100.0
USA Asian	9	0.0	100.0
USA Asian	10	0.0	100.0
USA Asian	11	0.0	100.0
USA Asian	12	0.0	100.0
USA Asian	13	0.0	100.0
USA Asian	14	0.0	100.0
USA Asian	15	0.0	100.0
USA Asian	16	0.0	100.0
USA Asian	17	0.0	100.0
USA Asian	18	0.0	100.0
USA Asian	19	0.0	100.0
USA Asian	20	0.0	100.0
USA Asian	21	0.0	100.0
USA Asian	22	0.0	100.0
USA Asian	23	0.0	100.0
USA Asian	24	0.0	100.0
USA Asian	25	0.0	100.0
USA Asian	26	0.0	100.0
USA Asian	27	0.0	100.0
USA Asian	28	0.0	100.0
USA Asian	29	0.0	100.0
USA Asian	30	0.0	100.0
USA Asian	31	0.0	100.0
USA Asian	32	0.0	100.0
USA Asian	33	0.0	100.0
USA Asian	34	0.0	100.0
USA Asian	35	0.0	100.0
USA Asian	36	0.0	100.0
USA Asian	37	0.0	100.0
USA Asian	38	0.0	100.0
USA Asian	39	0.0	100.0
USA Asian	40	0.0	100.0
USA Asian	41	0.0	100.0
USA Asian	42	0.0	100.0
USA Asian	43	0.0	100.0
USA Asian	44	0.0	100.0
USA Asian	45	0.0	100.0
USA Asian	46	0.0	100.0
USA Asian	47	0.0	100.0
USA Asian	48	0.0	100.0
USA Asian	49	0.0	100.0
USA Asian	50	0.0	100.0
USA Asian	51	0.0	100.0
USA Asian	52	0.0	100.0
USA Asian	53	0.0	100.0
USA Asian	54	0.0	100.0
USA Asian	55	0.0	100.0
USA Asian	56	0.0	100.0
USA Asian	57	0.0	100.0
USA Asian	58	0.0	100.0
USA Asian	59	0.0	100.0
USA Asian	60	0.0	100.0
USA Asian	61	0.0	100.0
USA Asian	62	0.0	100.0
USA Asian	63	0.0	100.0
USA Asian	64	0.0	100.0
USA Asian	65	0.0	100.0
USA Asian	66	0.0	100.0
USA Asian	67	0.0	100.0
USA Asian	68	0.0	100.0
USA Asian	69	0.0	100.0
USA Asian	70	0.0	100.0
USA Asian	71	0.0	100.0
USA Asian	72	0.0	100.0
USA Asian	73	0.0	100.0
USA Asian	74	0.0	100.0
USA Asian	75	0.0	100.0
USA Asian	76	0.0	100.0
USA Asian	77	0.0	100.0
USA Asian	78	0.0	100.0
USA Asian	79	0.0	100.0
USA Asian	80	0.0	100.0
USA Asian	81	0.0	100.0
USA Asian	82	0.0	100.0
USA Asian	83	0.0	100.0
USA Asian	84	0.0	100.0
USA Asian	85	0.0	100.0
USA Asian	86	0.0	100.0
USA Asian	87	0.0	100.0
USA Asian	88	0.0	100.0
USA Asian	89	0.0	100.0
USA Asian	90	0.0	100.0
USA Asian	91	0.0	100.0
USA Asian	92	0.0	100.0
USA Asian	93	0.0	100.0
USA Asian	94	0.0	100.0
USA Asian	95	0.0	100.0
USA Asian	96	0.0	100.0
USA Asian	97	0.0	100.0
USA Asian	98	0.0	100.0
USA Asian	99	0.0	100.0
USA Asian	100	0.0	100.0
