class I
population/area	coverage	average_hit	pc90
Germany DKMS - German donors	100.0%	40727.73	26009.63
average	100.0%	40727.73	26009.63
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Germany DKMS - German donors	0	0.0	100.0
Germany DKMS - German donors	1	0.0	100.0
Germany DKMS - German donors	2	0.0	100.0
Germany DKMS - German donors	3	0.0	100.0
Germany DKMS - German donors	4	0.0	100.0
Germany DKMS - German donors	5	0.0	100.0
Germany DKMS - German donors	6	0.0	100.0
Germany DKMS - German donors	7	0.0	100.0
Germany DKMS - German donors	8	0.0	100.0
Germany DKMS - German donors	9	0.0	100.0
Germany DKMS - German donors	10	0.0	100.0
Germany DKMS - German donors	11	0.0	100.0
Germany DKMS - German donors	12	0.0	100.0
Germany DKMS - German donors	13	0.0	100.0
Germany DKMS - German donors	14	0.0	100.0
Germany DKMS - German donors	15	0.0	100.0
Germany DKMS - German donors	16	0.0	100.0
Germany DKMS - German donors	17	0.0	100.0
Germany DKMS - German donors	18	0.0	100.0
Germany DKMS - German donors	19	0.0	100.0
Germany DKMS - German donors	20	0.0	100.0
Germany DKMS - German donors	21	0.0	100.0
Germany DKMS - German donors	22	0.0	100.0
Germany DKMS - German donors	23	0.0	100.0
Germany DKMS - German donors	24	0.0	100.0
Germany DKMS - German donors	25	0.0	100.0
Germany DKMS - German donors	26	0.0	100.0
Germany DKMS - German donors	27	0.0	100.0
Germany DKMS - German donors	28	0.0	100.0
Germany DKMS - German donors	29	0.0	100.0
Germany DKMS - German donors	30	0.0	100.0
Germany DKMS - German donors	31	0.0	100.0
Germany DKMS - German donors	32	0.0	100.0
Germany DKMS - German donors	33	0.0	100.0
Germany DKMS - German donors	34	0.0	100.0
Germany DKMS - German donors	35	0.0	100.0
Germany DKMS - German donors	36	0.0	100.0
Germany DKMS - German donors	37	0.0	100.0
Germany DKMS - German donors	38	0.0	100.0
Germany DKMS - German donors	39	0.0	100.0
Germany DKMS - German donors	40	0.0	100.0
Germany DKMS - German donors	41	0.0	100.0
Germany DKMS - German donors	42	0.0	100.0
Germany DKMS - German donors	43	0.0	100.0
Germany DKMS - German donors	44	0.0	100.0
Germany DKMS - German donors	45	0.0	100.0
Germany DKMS - German donors	46	0.0	100.0
Germany DKMS - German donors	47	0.0	100.0
Germany DKMS - German donors	48	0.0	100.0
Germany DKMS - German donors	49	0.0	100.0
Germany DKMS - German donors	50	0.0	100.0
Germany DKMS - German donors	51	0.0	100.0
Germany DKMS - German donors	52	0.0	100.0
Germany DKMS - German donors	53	0.0	100.0
Germany DKMS - German donors	54	0.0	100.0
Germany DKMS - German donors	55	0.0	100.0
Germany DKMS - German donors	56	0.0	100.0
Germany DKMS - German donors	57	0.0	100.0
Germany DKMS - German donors	58	0.0	100.0
Germany DKMS - German donors	59	0.0	100.0
Germany DKMS - German donors	60	0.0	100.0
Germany DKMS - German donors	61	0.0	100.0
Germany DKMS - German donors	62	0.0	100.0
Germany DKMS - German donors	63	0.0	100.0
Germany DKMS - German donors	64	0.0	100.0
Germany DKMS - German donors	65	0.0	100.0
Germany DKMS - German donors	66	0.0	100.0
Germany DKMS - German donors	67	0.0	100.0
Germany DKMS - German donors	68	0.0	100.0
Germany DKMS - German donors	69	0.0	100.0
Germany DKMS - German donors	70	0.0	100.0
Germany DKMS - German donors	71	0.0	100.0
Germany DKMS - German donors	72	0.0	100.0
Germany DKMS - German donors	73	0.0	100.0
Germany DKMS - German donors	74	0.0	100.0
Germany DKMS - German donors	75	0.0	100.0
Germany DKMS - German donors	76	0.0	100.0
Germany DKMS - German donors	77	0.0	100.0
Germany DKMS - German donors	78	0.0	100.0
Germany DKMS - German donors	79	0.0	100.0
Germany DKMS - German donors	80	0.0	100.0
Germany DKMS - German donors	81	0.0	100.0
Germany DKMS - German donors	82	0.0	100.0
Germany DKMS - German donors	83	0.0	100.0
Germany DKMS - German donors	84	0.0	100.0
Germany DKMS - German donors	85	0.0	100.0
Germany DKMS - German donors	86	0.0	100.0
Germany DKMS - German donors	87	0.0	100.0
Germany DKMS - German donors	88	0.0	100.0
Germany DKMS - German donors	89	0.0	100.0
Germany DKMS - German donors	90	0.0	100.0
Germany DKMS - German donors	91	0.0	100.0
Germany DKMS - German donors	92	0.0	100.0
Germany DKMS - German donors	93	0.0	100.0
Germany DKMS - German donors	94	0.0	100.0
Germany DKMS - German donors	95	0.0	100.0
Germany DKMS - German donors	96	0.0	100.0
Germany DKMS - German donors	97	0.0	100.0
Germany DKMS - German donors	98	0.0	100.0
Germany DKMS - German donors	99	0.0	100.0
Germany DKMS - German donors	100	0.0	100.0
Germany DKMS - German donors	101	0.0	100.0
Germany DKMS - German donors	102	0.0	100.0
Germany DKMS - German donors	103	0.0	100.0
Germany DKMS - German donors	104	0.0	100.0
Germany DKMS - German donors	105	0.0	100.0
Germany DKMS - German donors	106	0.0	100.0
Germany DKMS - German donors	107	0.0	100.0
Germany DKMS - German donors	108	0.0	100.0
Germany DKMS - German donors	109	0.0	100.0
Germany DKMS - German donors	110	0.0	100.0
Germany DKMS - German donors	111	0.0	100.0
Germany DKMS - German donors	112	0.0	100.0
Germany DKMS - German donors	113	0.0	100.0
Germany DKMS - German donors	114	0.0	100.0
Germany DKMS - German donors	115	0.0	100.0
Germany DKMS - German donors	116	0.0	100.0
Germany DKMS - German donors	117	0.0	100.0
Germany DKMS - German donors	118	0.0	100.0
Germany DKMS - German donors	119	0.0	100.0
Germany DKMS - German donors	120	0.0	100.0
Germany DKMS - German donors	121	0.0	100.0
Germany DKMS - German donors	122	0.0	100.0
Germany DKMS - German donors	123	0.0	100.0
Germany DKMS - German donors	124	0.0	100.0
Germany DKMS - German donors	125	0.0	100.0
Germany DKMS - German donors	126	0.0	100.0
Germany DKMS - German donors	127	0.0	100.0
Germany DKMS - German donors	128	0.0	100.0
Germany DKMS - German donors	129	0.0	100.0
Germany DKMS - German donors	130	0.0	100.0
Germany DKMS - German donors	131	0.0	100.0
Germany DKMS - German donors	132	0.0	100.0
