class I
population/area	coverage	average_hit	pc90
Netherlands UMCU	100.0%	42969.01	28905.67
average	100.0%	42969.01	28905.67
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Netherlands UMCU	0	0.0	100.0
Netherlands UMCU	1	0.0	100.0
Netherlands UMCU	2	0.0	100.0
Netherlands UMCU	3	0.0	100.0
Netherlands UMCU	4	0.0	100.0
Netherlands UMCU	5	0.0	100.0
Netherlands UMCU	6	0.0	100.0
Netherlands UMCU	7	0.0	100.0
Netherlands UMCU	8	0.0	100.0
Netherlands UMCU	9	0.0	100.0
Netherlands UMCU	10	0.0	100.0
Netherlands UMCU	11	0.0	100.0
Netherlands UMCU	12	0.0	100.0
Netherlands UMCU	13	0.0	100.0
Netherlands UMCU	14	0.0	100.0
Netherlands UMCU	15	0.0	100.0
Netherlands UMCU	16	0.0	100.0
Netherlands UMCU	17	0.0	100.0
Netherlands UMCU	18	0.0	100.0
Netherlands UMCU	19	0.0	100.0
Netherlands UMCU	20	0.0	100.0
Netherlands UMCU	21	0.0	100.0
Netherlands UMCU	22	0.0	100.0
Netherlands UMCU	23	0.0	100.0
Netherlands UMCU	24	0.0	100.0
Netherlands UMCU	25	0.0	100.0
Netherlands UMCU	26	0.0	100.0
Netherlands UMCU	27	0.0	100.0
Netherlands UMCU	28	0.0	100.0
Netherlands UMCU	29	0.0	100.0
Netherlands UMCU	30	0.0	100.0
Netherlands UMCU	31	0.0	100.0
Netherlands UMCU	32	0.0	100.0
Netherlands UMCU	33	0.0	100.0
Netherlands UMCU	34	0.0	100.0
Netherlands UMCU	35	0.0	100.0
Netherlands UMCU	36	0.0	100.0
Netherlands UMCU	37	0.0	100.0
Netherlands UMCU	38	0.0	100.0
Netherlands UMCU	39	0.0	100.0
Netherlands UMCU	40	0.0	100.0
Netherlands UMCU	41	0.0	100.0
Netherlands UMCU	42	0.0	100.0
Netherlands UMCU	43	0.0	100.0
Netherlands UMCU	44	0.0	100.0
Netherlands UMCU	45	0.0	100.0
Netherlands UMCU	46	0.0	100.0
Netherlands UMCU	47	0.0	100.0
Netherlands UMCU	48	0.0	100.0
Netherlands UMCU	49	0.0	100.0
Netherlands UMCU	50	0.0	100.0
Netherlands UMCU	51	0.0	100.0
Netherlands UMCU	52	0.0	100.0
Netherlands UMCU	53	0.0	100.0
Netherlands UMCU	54	0.0	100.0
Netherlands UMCU	55	0.0	100.0
Netherlands UMCU	56	0.0	100.0
Netherlands UMCU	57	0.0	100.0
Netherlands UMCU	58	0.0	100.0
Netherlands UMCU	59	0.0	100.0
Netherlands UMCU	60	0.0	100.0
Netherlands UMCU	61	0.0	100.0
Netherlands UMCU	62	0.0	100.0
Netherlands UMCU	63	0.0	100.0
Netherlands UMCU	64	0.0	100.0
Netherlands UMCU	65	0.0	100.0
Netherlands UMCU	66	0.0	100.0
Netherlands UMCU	67	0.0	100.0
Netherlands UMCU	68	0.0	100.0
Netherlands UMCU	69	0.0	100.0
Netherlands UMCU	70	0.0	100.0
Netherlands UMCU	71	0.0	100.0
Netherlands UMCU	72	0.0	100.0
Netherlands UMCU	73	0.0	100.0
Netherlands UMCU	74	0.0	100.0
Netherlands UMCU	75	0.0	100.0
Netherlands UMCU	76	0.0	100.0
Netherlands UMCU	77	0.0	100.0
Netherlands UMCU	78	0.0	100.0
Netherlands UMCU	79	0.0	100.0
Netherlands UMCU	80	0.0	100.0
Netherlands UMCU	81	0.0	100.0
Netherlands UMCU	82	0.0	100.0
Netherlands UMCU	83	0.0	100.0
Netherlands UMCU	84	0.0	100.0
